"","n","estimate","variance","mse","normal_lower_bound","normal_upper_bound","empirical_lower_bound","empirical_upper_bound"
"1",100,5.01808597311394,0.260881725812801,0.311246959312241,4.13057101152334,5.81084104406685,4.18311286987469,5.87689205856834
"2",200,5.02583446491083,0.10249245345991,0.149469738910115,4.55192667770439,5.60510811801302,4.51761130055078,5.56492275544539
"3",300,5.03101737323629,0.0659799855187326,0.110744233482189,4.55028550840468,5.39529845013165,4.63898918117124,5.45967810869024
"4",400,4.74424289739101,0.0461965697548435,0.294571241048861,4.33139718772135,5.03846670877816,4.39573465186893,5.10182500117042
"5",500,4.85978016873292,0.0449014537091,0.19146201633708,4.4612089685255,5.15829672243321,4.54862638928367,5.23095970993258
"6",600,5.00062897786233,0.0402418910597562,0.0987955243037559,4.63583767861411,5.29576550781104,4.67039991839719,5.34377658782694
"7",700,5.13031438324818,0.0330204779279036,0.0456273660258822,4.74955539637559,5.34734578742898,4.83992431599768,5.43561527446517
"8",800,5.17587893410396,0.0305601365644268,0.0350089534251489,4.91288189953824,5.48797068377297,4.90231587912808,5.46212691300666
"9",900,5.17190197088183,0.0268925047991735,0.0318887582609465,4.94306230930124,5.48253924235263,4.9117872960487,5.43262989505154
"10",1000,5.20193585650233,0.0236863235133077,0.025337126550618,4.96520242368268,5.47150027093473,4.94429186363657,5.43588344051082
"11",1100,5.16241282733683,0.0243563402246933,0.0307853313004994,4.92412432779089,5.43753308058204,4.90400073117671,5.40728889490723
"12",1200,5.15070348907407,0.0233088601044818,0.0317536131827104,4.91690211911263,5.41914960343926,4.8900097014342,5.38549356541645
"13",1300,5.20773367875628,0.0247526682215607,0.0259650653077234,4.97965471614742,5.49722372402266,4.93641099549143,5.44300972745561
"14",1400,5.23027069890141,0.0218991969458517,0.0220474257938909,5.00831055751667,5.49513384762016,4.96836064593955,5.46172080816078
"15",1500,5.22883829699682,0.0200530486170533,0.0202390887919653,5.02767337506534,5.49352482958931,4.980983297292,5.44991354850348
"16",1600,5.24112833791633,0.0189237291729725,0.018922181993947,5.0306544908305,5.4831982857985,5.00289283606057,5.45510570434119
"17",1700,5.24868637526734,0.018763401376341,0.0187963988132196,5.04350932818228,5.49413199858546,5.00660646102065,5.45856116463266
