"","n","estimate","variance","mse","normal_lower_bound","normal_upper_bound","empirical_lower_bound","empirical_upper_bound"
"1",100,6.21894886728943,0.117024626276366,0.177667168744153,5.40995857174499,6.53532999770175,5.65974300917527,6.78828199989299
"2",200,6.36761825121879,0.0672282339485603,0.223219222510893,5.54615992593641,6.39912864351033,5.94366572471466,6.79966676081215
"3",300,6.20670238061283,0.041763421812294,0.0965382613793324,5.63650033861564,6.3087882308311,5.8685416734617,6.54060890121959
"4",400,6.16480509560811,0.0285559849057018,0.0654760509486002,5.69468842844963,6.25060014099711,5.88819345903387,6.44355872240377
"5",500,6.24713956995052,0.0241525421742265,0.0994953732777248,5.71701613216728,6.22827243727947,5.99396826640867,6.50124705230494
"6",600,6.26511685974994,0.0201864848747437,0.10572265472044,5.73894487947368,6.20634368997306,6.03496157499214,6.49951381921701
"7",700,6.21583664153843,0.0181670973661797,0.0773059863599683,5.75094207147555,6.19434649797119,5.99584584040681,6.44172775353679
"8",800,6.19108117700211,0.0157555827884743,0.0634671075803116,5.76618021066007,6.17910835878667,5.98504044558632,6.40117617853099
"9",900,6.18388695443133,0.0137880814788533,0.058408789367905,5.77950119375285,6.16578737569389,5.99307233367585,6.37924814154152
"10",1000,6.22993943173262,0.012217554503752,0.0784159036673615,5.79083360128403,6.15445496816271,6.05038946492766,6.41288648776851
"11",1100,6.23586619527978,0.0113353219852888,0.0806188291178564,5.79752088195446,6.14776768749228,6.0633345319035,6.41040513150026
"12",1200,6.19158207917208,0.0100432735144267,0.0579750226977905,5.80780341323014,6.1374851562166,6.02702579375014,6.35584760148959
"13",1300,6.23730439588558,0.00955850259087892,0.0796015653307515,5.81183090183592,6.13345766761082,6.07486733603891,6.39601770753802
"14",1400,6.26371068682578,0.00894381924867711,0.0936616809176695,5.81708756959069,6.12820099985605,6.10918666068429,6.41960929823462
"15",1500,6.26861797464061,0.00854334062997584,0.0961420570850769,5.82061014606518,6.12467842338156,6.11589897969429,6.42075135053196
"16",1600,6.24683115124213,0.00804817804212268,0.0832250061778903,5.82508177112571,6.12020679832103,6.09964595611683,6.39303509389974
"17",1700,6.23523780653417,0.00766420528130016,0.0766180301372399,5.8286448387881,6.11664373065864,6.08955885927334,6.38037673808698
"18",1800,6.23426494849945,0.00677644106273198,0.0752204574891567,5.83724134620527,6.10804722324148,6.09739366720251,6.37116953156491
"19",1900,6.2023604670252,0.00656501050870929,0.0593332219179323,5.83937042679202,6.10591814265472,6.06786323680642,6.3367705691353
"20",2000,6.20632246542382,0.00609565601038156,0.0606999290146507,5.84422286043091,6.10106570901584,6.07874297608436,6.33212257772902
"21",2100,6.1962762596832,0.00595458973872519,0.0559646590452104,5.84571752911435,6.09957104033239,6.06976603242822,6.32218159688801
"22",2200,6.20110231181037,0.0056792622228464,0.0578711965108861,5.84868666805092,6.09660190139582,6.07967379743106,6.3243195755328
"23",2300,6.16642104683832,0.00543876091644236,0.0429871067000147,5.85133969290645,6.09394887654029,6.04488686394522,6.28977263286152
"24",2400,6.1655195009415,0.00515524559546017,0.0423550635775331,5.85454373021556,6.09074483923118,6.04951745806776,6.28643044558769
"25",2500,6.17460956271712,0.00505973774572041,0.0458486993132655,5.85564283029919,6.08964573914755,6.05932567894004,6.2920001818541
"26",2600,6.16029456956347,0.00477685849853683,0.039988532527409,5.858960520527,6.08632804891974,6.04383781931779,6.27510258739076
"27",2700,6.18084536349721,0.00462705395501076,0.0479738177468096,5.86075730809193,6.08453126135482,6.06895562773821,6.29162113217903
"28",2800,6.19246252594588,0.00455947057827388,0.0528786178583163,5.86157743198508,6.08371113746166,6.07868260187843,6.30426423372842
