"","n","estimate","variance","mse","normal_lower_bound","normal_upper_bound","empirical_lower_bound","empirical_upper_bound"
"1",100,5.85106581950577,0.377026130871593,0.525684763501588,4.45542481283027,6.47538578314881,4.7346323224397,6.82738184142573
"2",200,5.83298008893393,0.169681393455692,0.304758684114813,4.78785058924209,6.14296000673698,5.12392753163078,6.46696340697684
"3",300,5.71582152117414,0.10040093154138,0.163089136189111,4.94421523369738,5.98659536228169,5.14438816793394,6.18655713824759
"4",400,5.85435137584753,0.0512314730032194,0.20250027818973,5.09310303311928,5.8377075628598,5.39039727628245,6.17580586200076
"5",500,5.87677173919325,0.0394333259504195,0.208647788233833,5.13877312428589,5.79203747169318,5.51044372415035,6.17111188283969
"6",600,5.80633917663374,0.037923536030528,0.154151860930702,5.14508705832226,5.78572353765682,5.41376354280717,6.11683919017638
"7",700,5.68208116241312,0.0357508328712256,0.0826921129283565,5.15439817290524,5.77641242307384,5.33411381513203,5.95786240881757
"8",800,5.67673949286702,0.0353393940602672,0.0799944681059659,5.15619296597244,5.77461763000664,5.34305615471718,5.95704519812018
"9",900,5.63237277256971,0.033951028245636,0.061822375607667,5.16232777947358,5.76848281650549,5.32480884885871,5.91873368614565
"10",1000,5.71243181557293,0.0302314153271006,0.0912474694334112,5.17941157804752,5.75139901793156,5.39653878802531,5.99472374670174
"11",1100,5.69899517101925,0.0260721423906148,0.0806311567441732,5.19981291447832,5.73099768150076,5.41386538542668,5.95700218703084
"12",1200,5.66671951652899,0.0262116820643047,0.0667338543140412,5.19910312971089,5.73170746626819,5.38912874222335,5.93630074685695
"13",1300,5.60586226858755,0.0252292581742888,0.0449523729122241,5.20414134275436,5.72666925322472,5.32789985606904,5.86332496877166
"14",1400,5.59243989684872,0.0231282244467477,0.03926138810917,5.21525650975192,5.71555408622716,5.32375032533564,5.83783508666613
"15",1500,5.62807117362693,0.0207417789117874,0.0471978176528833,5.22851337292437,5.70229722305471,5.38416771119641,5.86239183823603
"16",1600,5.61578667743974,0.0209181402363623,0.0435285158936608,5.22750839303208,5.703302202947,5.38022296077816,5.841740693382
"17",1700,5.54851885295273,0.0201776219706963,0.0270814494649207,5.23175720139548,5.6990533945836,5.28818983193585,5.77448329063831
"18",1800,5.53469650740297,0.0200931259459756,0.0248903790227623,5.2322469282589,5.69856366772018,5.28818983193585,5.76010491394544
"19",1900,5.53283365711041,0.0179489496369387,0.0224919434607444,5.2450381879252,5.68577240805388,5.29570566745305,5.73557413529006
"20",2000,5.5154744941161,0.0185019056813125,0.0210051297009365,5.2416694944078,5.68914110157128,5.28227928644706,5.71723617247324
"21",2100,5.50921341701741,0.0188752031773396,0.0207905794294643,5.23942370050609,5.69138689547299,5.27688935999061,5.71426574783535
"22",2200,5.52567207057993,0.0178266194345851,0.0214551379891599,5.24579042253732,5.68502017344175,5.29430927164055,5.73557413529006
"23",2300,5.46886637551679,0.0168914185825436,0.0169000193564767,5.25162862251631,5.67918197346277,5.27187230112109,5.68505397613248
"24",2400,5.4713813546394,0.0156467387652634,0.0156793226705926,5.25965561598663,5.67115497999245,5.27356563982394,5.69393090357155
"25",2500,5.47623491944672,0.0151744897685357,0.0152887355714879,5.26278436752455,5.66802622845453,5.27640642862293,5.68201021768616
"26",2600,5.45926314123353,0.0132459864187475,0.0132810633110791,5.27609710522367,5.65471349075541,5.27680365827682,5.66141912502642
"27",2700,5.45811339716319,0.0127739110156406,0.0128245280510988,5.27950109865138,5.6513094973277,5.28191229198397,5.65849347865353
"28",2800,5.43800288433961,0.0115933115872041,0.0123418851987284,5.28830022105483,5.64251037492425,5.27495674392243,5.62092184014765
"29",2900,5.43726923119455,0.0108836401434086,0.0116731016700721,5.2938064595706,5.63700413640848,5.27660504344988,5.62092107739066
"30",3000,5.41047271930641,0.00897107912234114,0.0119868731072955,5.30961170249979,5.62119889347928,5.26838617154994,5.57632827205651
"31",3100,5.42080540046347,0.00854541204624287,0.0105328538231698,5.31335272936848,5.61745786661059,5.27660504344988,5.5823215596173
"32",3200,5.4409557691629,0.00895537813054043,0.00955136651475886,5.30974809552196,5.62106250045712,5.28614638908007,5.60487854464843
"33",3300,5.45276549905493,0.00874558447704138,0.00890359987725326,5.31158215657675,5.61922843940232,5.30732782796948,5.61428524287109
"34",3400,5.4658222497438,0.00849347735214244,0.00849195250543739,5.31381548285476,5.61699511312432,5.32890797371006,5.61642233496576
"35",3500,5.4794431973317,0.00912411649848395,0.0093193542931249,5.30828848263588,5.6225221133432,5.3372813584662,5.653079392545
"36",3600,5.44532531358772,0.00771954586221031,0.00812120772661507,5.32088690201141,5.60992369396767,5.31794744583744,5.59574623993529
"37",3700,5.44973728270353,0.00736451795258945,0.00760853175200153,5.32424927318296,5.60656132279612,5.32480884885871,5.5962743709933
"38",3800,5.46084550925413,0.00772578963356051,0.00774503614894535,5.32082846868831,5.60998212729077,5.33411381513203,5.6143985934091
"39",3900,5.46557668952233,0.00775192999663449,0.00775040898569268,5.32058408594172,5.61022651003736,5.33899611398542,5.61466258391974
"40",4000,5.4891312873454,0.00790643174650189,0.00846777303106689,5.31914800874555,5.61166258723353,5.35759537436188,5.65655299761644
"41",4100,5.49141359279968,0.00790616397202327,0.00858101413815984,5.31915048548235,5.61166011049673,5.36210449689163,5.65335337189427
"42",4200,5.47684976117036,0.00716285819828812,0.00729240136414552,5.32619529795006,5.60461529802902,5.35141965107018,5.61453058866442
"43",4300,5.4855241039668,0.00764961917688985,0.00805285560700514,5.32154294332246,5.60926765265662,5.35444978688491,5.65285304948872
"44",4400,5.48645905442668,0.00727166019426048,0.00771346652233609,5.32514200044172,5.60566859553736,5.35764179410823,5.64073925060088
"45",4500,5.48776139778411,0.00694765345293184,0.00744605912026593,5.32830249597257,5.6025081000065,5.36592294207199,5.64065425035294
"46",4600,5.48398333813837,0.00680337234485921,0.00714715524616172,5.32973356359579,5.60107703238329,5.36121940161008,5.62369057904922
"47",4700,5.48720316882173,0.00668335071314327,0.00715716121581758,5.33093561451639,5.59987498146269,5.3639318617809,5.64045342939011
"48",4800,5.49837837965082,0.00704089359401063,0.00812670952953337,5.32738557630362,5.60342501967546,5.37331996874029,5.653079392545
