"","n","estimate","variance","mse","normal_lower_bound","normal_upper_bound","empirical_lower_bound","empirical_upper_bound"
"1",100,6.07200442182379,0.208385473509539,0.576306293451318,4.71454182585742,6.21626877012166,5.32342350801841,6.81610975237221
"2",200,6.16488153707483,0.125306874728485,0.614548822398446,4.88314831462669,6.04766228135239,5.57686964183919,6.74768915415875
"3",300,6.02145442497839,0.0766247648530754,0.385800071525162,5.01009042785038,5.9207201681287,5.56379225930772,6.47657664414233
"4",400,6.01773351697506,0.051413417183438,0.356469595987721,5.09244251926581,5.83836807671327,5.64617523470218,6.38899634884266
"5",500,6.08803449333949,0.0443763395410035,0.432034579175221,5.1189054928498,5.81190510312928,5.74389631852072,6.44072255310854
"6",600,6.0846150924072,0.038434438741039,0.42184752135605,5.14293662641407,5.78787396956501,5.7699901800815,6.41371947314113
"7",700,6.02573723485248,0.0334154133084619,0.347380609694375,5.16472797469661,5.76608262128247,5.72345589518629,6.32920834080578
"8",800,5.99990283277743,0.0290934277202229,0.314775223729016,5.18484597640915,5.74596461956993,5.72118196770016,6.28146408990138
"9",900,5.99991743834381,0.0249592673281525,0.310657503660787,5.20554306075854,5.72526753522054,5.7407125257656,6.25907943012222
"10",1000,6.05363545616182,0.0224788422825681,0.368489065497503,5.21879328572484,5.71201731025424,5.80619609410853,6.29657372952969
"11",1100,6.05854565574372,0.0208978030028221,0.372709107438983,5.22762406635159,5.70318652962749,5.82047408938721,6.29869506301257
"12",1200,6.01652095201705,0.0189516518496867,0.322676325633486,5.23896652567743,5.69184407030165,5.79382872171681,6.24268385244969
"13",1300,6.04821356249293,0.0174607766334763,0.357122757651604,5.24805560297222,5.68275499300686,5.83259413998654,6.26721739957466
"14",1400,6.06540555530489,0.0163808782878267,0.376377910890661,5.25488409234991,5.67592650362917,5.85455562632216,6.27409698939406
"15",1500,6.07586553828708,0.0156298453132633,0.388288424328333,5.25976671776729,5.67104387821179,5.8667016447658,6.28214037356258
"16",1600,6.05438525862425,0.0148452106683184,0.361739635655445,5.2649948128638,5.66581578311528,5.85247942871932,6.25347051930452
"17",1700,6.03835915299674,0.013826631740605,0.342099986381871,5.27199238994568,5.6588182060334,5.84546774198832,6.23543078170561
"18",1800,6.03501690096172,0.012794274665675,0.337249094051279,5.27935297719881,5.65145761878027,5.85113963850573,6.22137876660681
"19",1900,6.00813596575661,0.0121305574365786,0.306684709059979,5.28424307712916,5.64656751884992,5.82610478460871,6.18804616588812
"20",2000,6.00924046696005,0.0113428682246603,0.307097290660198,5.29022361265715,5.64058698332193,5.83396342590662,6.18470667346693
"21",2100,5.99456918205942,0.0112307298129025,0.291242899870862,5.29109170835863,5.63971888762045,5.82109640292233,6.16879838719515
"22",2200,5.99930670246829,0.0105222952224088,0.295570900467749,5.29667910867369,5.63413148730539,5.83038427675707,6.16466496423738
"23",2300,5.96684417961459,0.0100411004078019,0.261480044193101,5.30058226112805,5.63022833485103,5.79934076452205,6.13307609963729
"24",2400,5.96635188019697,0.00973857677999588,0.260684107289948,5.30308418827388,5.6277264077052,5.80594294989596,6.13089344279653
"25",2500,5.97434367150503,0.00930025917945317,0.268316667164215,5.30677914836609,5.62403144761299,5.81782433671108,6.13571308402075
"26",2600,5.95999995454357,0.00888867073803715,0.253510767295693,5.31032891380772,5.62048168217135,5.80501606754986,6.11420524005872
"27",2700,5.97993879773934,0.00875930440498377,0.273502274908883,5.31146154626401,5.61934904971507,5.82275940998698,6.13311510782042
"28",2800,5.98986922461794,0.00856840128261987,0.283629097936845,5.31314833755011,5.61766225842897,5.8382363822612,6.1412043256369
"29",2900,5.99522764294084,0.00841154074545516,0.289121575647003,5.31454844861662,5.61626214736246,5.8473233128263,6.14769814380324
"30",3000,5.96875496316762,0.00760193545958496,0.260961300507381,5.32199202551751,5.60881857046157,5.82559874298867,6.11135448791174
"31",3100,5.96898474296996,0.00728082661984207,0.260871627861303,5.3250536225392,5.60575697343988,5.82513335514033,6.10946357457784
"32",3200,5.97243149525553,0.0072974593267325,0.264371564548879,5.32489340058235,5.60591719539673,5.83085500032301,6.11473056448068
"33",3300,5.98507421080541,0.00707762503492976,0.27713198845715,5.32702602900825,5.60378456697083,5.84483438352335,6.12277272117095
"34",3400,5.9879534393744,0.00691256471192334,0.279967742263756,5.32864914928918,5.6021614466899,5.85324870451608,6.12438338903765
"35",3500,5.99282336996128,0.00688299285869049,0.285051438902504,5.3289419832364,5.60186861274268,5.85633443591111,6.13044578804597
