"","n","estimate","variance","mse","normal_lower_bound","normal_upper_bound","empirical_lower_bound","empirical_upper_bound"
"1",100,3.6559399843424,0.0679991359773711,0.109966822631074,3.43191071443957,4.28975596208677,3.23660010024976,4.08623465390743
"2",200,3.9792612913951,0.0761255703863668,0.0901355253553095,3.40700403263371,4.31466264389262,3.53132486064644,4.43834541380018
"3",300,3.82459696248115,0.0421888237422407,0.0434934609073076,3.52298174967462,4.19868492685171,3.48696447292566,4.16966964700763
"4",400,3.66101431871782,0.0304173163090778,0.0703388734178789,3.57396164040649,4.14770503611985,3.37780557335277,3.94899404554172
"5",500,3.74570165720132,0.022108478625445,0.0353593609138477,3.61626136598286,4.10540531054348,3.50313876698685,3.98747853291636
"6",600,3.84519847631067,0.0214758475925781,0.0217160013313334,3.61978595936174,4.1018807171646,3.60697235105502,4.09119072944541
"7",700,3.8653501911184,0.018460620834231,0.01847733066978,3.63734729427699,4.08431938224934,3.64423688066008,4.08736489093481
"8",800,3.86541386933154,0.0153876491446369,0.0154055528796763,3.6567942404971,4.06487243602923,3.66849156924338,4.07212314265505
"9",900,3.82229553355248,0.0128214173208246,0.0143040154292797,3.67458376992922,4.04708290659712,3.63820125346491,4.00993791853487
"10",1000,3.82355330881164,0.011182669393968,0.0125702334559961,3.68689312445922,4.03477355206712,3.65358106929634,4.002525572732
"11",1100,3.82652057266375,0.0101288808134482,0.011304220920366,3.69529141855055,4.02637525797578,3.66078856029096,3.9948339751668
"12",1200,3.79219686463672,0.00889732661453259,0.0136065126610838,3.70568146498767,4.01598521153867,3.64082154104347,3.95050752637328
"13",1300,3.87300203137285,0.0088554111713877,0.00900171718115118,3.70604735786419,4.01561931866214,3.72056939711064,4.02819247985558
"14",1400,3.92088974435947,0.00898765050940697,0.0125926248925093,3.70489591811193,4.0167707584144,3.76669147295891,4.08045504355042
"15",1500,3.8972095633424,0.0077491196554324,0.00907079958251639,3.71603837992981,4.00562829659652,3.7573398291635,4.0454631035355
"16",1600,3.8942427246912,0.00746469209114772,0.00857938625422713,3.71872053509596,4.00294614143038,3.75519252983642,4.03929164596286
"17",1700,3.90163503364793,0.00709550903665185,0.00875886828111587,3.72227934868658,3.99938732783975,3.7626591147032,4.04181105863331
"18",1800,3.9040711892399,0.00660241996109955,0.00847061123419365,3.72718030198287,3.99448637454346,3.76948002184915,4.03499477532698
"19",1900,3.87963242432796,0.00611215803520151,0.00646434124046587,3.73223820164231,3.98942847488402,3.7514366436033,4.00730942829663
"20",2000,3.89052113029811,0.00609701455922568,0.00697716015222395,3.73239760402134,3.989269072505,3.76518222790619,4.02212761411899
"21",2100,3.90132186759778,0.00542879964416449,0.00706703489191582,3.73963988406343,3.98202679246291,3.78176529849225,4.02512160809418
"22",2200,3.90620341206999,0.00533810268535764,0.00739547866205737,3.74065651529943,3.98101016122691,3.78630093398418,4.02851540373793
"23",2300,3.88215810165405,0.00482691821372432,0.00528069836375857,3.74655544461529,3.97511123191105,3.76862087478026,3.99744985329867
"24",2400,3.87449794564481,0.00460123239679246,0.00478703364520758,3.74925899447431,3.97240768205202,3.76690662479095,3.98651971658624
"25",2500,3.87988041472142,0.0045835817461077,0.00494545615136493,3.74947320361215,3.97219347291419,3.768322703342,3.99335002376603
"26",2600,3.87247563626862,0.00426132689200439,0.00439601772947378,3.75345920227864,3.96820747424769,3.76602841960823,3.98128805747783
"27",2700,3.88817819471423,0.00430169228481168,0.00504857312068388,3.75295185049671,3.96871482602963,3.78105961205162,3.99585771643901
