"","n","estimate","variance","mse","normal_lower_bound","normal_upper_bound","empirical_lower_bound","empirical_upper_bound"
"1",100,3.40132823618392,0.0498449243813064,0.260979894233286,3.49360369773871,4.22806297878763,3.03488780081182,3.76559474834912
"2",200,3.64999436686746,0.0279450958562558,0.0723925786962864,3.58586666543178,4.13580001109455,3.38166247013853,3.93500945634927
"3",300,3.5141344133508,0.0176361225728934,0.137832739883771,3.64239502664472,4.07927164988161,3.29226944514887,3.73808712281946
"4",400,3.3968299099027,0.0126381509931716,0.227934804893242,3.67591966464371,4.04574701188263,3.21356739797464,3.58464683603997
"5",500,3.46923956167718,0.00997989936363383,0.163323589244638,3.69651337174719,4.02515330477914,3.305323446489,3.63478086608794
"6",600,3.53539410669936,0.00849569437804678,0.114404688680011,3.70922373991095,4.01244293661538,3.38312557194459,3.6869476759533
"7",700,3.53762251175252,0.00743805725363174,0.111901808015876,3.71897429867192,4.00269237785441,3.39622097975024,3.6779217103491
"8",800,3.53020409068287,0.0064369783713312,0.115751390331169,3.72886544558957,3.99280123093676,3.39685587070284,3.66273995049209
"9",900,3.50717909860732,0.00575097910703959,0.130821150137772,3.73609551770464,3.98557115882169,3.38327528089215,3.63379573318215
"10",1000,3.51158776525249,0.00525648623599199,0.127227905206301,3.74157877052117,3.98008790600517,3.39376013602896,3.63381542934338
"11",1100,3.51827659729258,0.00471689225568855,0.122061069661629,3.74786539163205,3.97380128489429,3.40566589412484,3.63286863615291
"12",1200,3.48670677948188,0.00421484289182007,0.144184681908766,3.75404644489135,3.96762023163499,3.38142937313216,3.59321367199933
"13",1300,3.54350525933533,0.00409036607614079,0.104786657678954,3.7556351293328,3.96603154719353,3.43834444165101,3.64845876544034
"14",1400,3.57965555896684,0.00393111572173102,0.0829912730686011,3.75770330186144,3.96396337466489,3.47541205100863,3.6826683693119
"15",1500,3.56640777586012,0.00360194715614003,0.090287638563062,3.76211543436376,3.95955124216257,3.46770893816526,3.66535691131478
"16",1600,3.56156744959474,0.00337255413263337,0.0929319517423107,3.7653106092552,3.95635606727113,3.46678601255814,3.6565363954705
"17",1700,3.56525670176784,0.00325240955580704,0.0906173071157854,3.76702749951231,3.95463917701402,3.47125406762113,3.65972643654428
"18",1800,3.56677705011258,0.00301375851823003,0.0894822563674276,3.7705346415327,3.95113203499364,3.4762455407501,3.65899391913817
"19",1900,3.54370160187552,0.00280580124723805,0.103377778311231,3.77370574677828,3.94796092974806,3.45636551531463,3.63026723532554
