"","n","estimate","variance","mse","normal_lower_bound","normal_upper_bound","empirical_lower_bound","empirical_upper_bound"
"1",100,0.485209309628066,0.0453039776356102,0.145948776000543,0.452366562437316,1.15257190413791,0.138428022834112,0.831545368627573
"2",200,0.982645190041375,0.061681729068548,0.0941327681148683,0.39395656724322,1.210981899332,0.561499065305552,1.38487387995536
"3",300,0.903639614497168,0.0449939668675112,0.0552204141082247,0.453566478164954,1.15137198841027,0.559363810421162,1.25805830883697
"4",400,0.842191119542521,0.0391083766435378,0.0406783832158571,0.477185645585708,1.12775282098951,0.515235521555538,1.17271064254353
"5",500,0.81125253742416,0.0244856420280125,0.0245578913311621,0.545084368720534,1.05985409785469,0.557593625147764,1.07270324125142
"6",600,0.890143285989598,0.0234737899036817,0.0311558346628917,0.550458601335868,1.05447986523935,0.643238198000872,1.14324763763809
"7",700,0.88079155185683,0.0188105540721003,0.0249411775473441,0.576874970422443,1.02806349615278,0.658668998800403,1.10806618700522
"8",800,0.856895060100274,0.0153816176820375,0.0183407119827431,0.598470127816448,1.00646833875877,0.653186831503854,1.06775145700722
"9",900,0.818818382980479,0.0137006703704514,0.0139652249320572,0.609939342004481,0.994999124570741,0.626666374550988,1.01726113964757
"10",1000,0.789096839538937,0.0125081065090831,0.0126844258023508,0.618509385253379,0.986429081321844,0.610029651829572,0.972967735771174
"11",1100,0.796875761528069,0.0107149294308972,0.0107440733713358,0.632205593062054,0.972732873513169,0.62678315689675,0.966574903455101
"12",1200,0.775835011843398,0.0100586877800869,0.0107660577944703,0.637501912644389,0.967436553930833,0.613713767098635,0.942694392409821
"13",1300,0.835094460611685,0.0106073982010629,0.0116696821793701,0.633062100120589,0.971876366454633,0.669051735651512,1.01026715668193
"14",1400,0.870033372787562,0.00970523498134457,0.0142682068807171,0.640426229815587,0.964512236759636,0.711544783799096,1.03606420089026
"15",1500,0.846428768435403,0.00913408554293262,0.011064699456234,0.645266608151041,0.959671858424181,0.692107502338395,1.00956458954533
"16",1600,0.838538949269541,0.00836153058786771,0.0096608826927672,0.652061506264615,0.952876960310607,0.69082629554753,0.993882109883831
"17",1700,0.843493638821792,0.00754237086447315,0.00922386423973317,0.659618919599698,0.945319546975525,0.704244780273622,0.987375179133305
"18",1800,0.868692892665961,0.00695212904297288,0.011336311678624,0.665322278439019,0.939616188136204,0.730691187165758,1.00584213657669
"19",1900,0.860634372991078,0.00668348063549869,0.0100653274160954,0.667998242795435,0.936940223779787,0.729154294637167,1.00105267739697
"20",2000,0.857603789140515,0.00635375187008359,0.00939230036880657,0.671357251451277,0.933581215123945,0.725998650920365,0.99037007459941
"21",2100,0.847647372779951,0.0055219631874421,0.00756192308279394,0.68024030317882,0.924698163396403,0.727251841625713,0.968907500586678
"22",2200,0.826221020693774,0.00530312951952317,0.00586621629860681,0.682686733072571,0.922251733502651,0.708228423352736,0.945792078028037
"23",2300,0.843756226502867,0.00499030554325401,0.00669392329090192,0.686273327608939,0.918665138966284,0.728674018795322,0.964886078124338
"24",2400,0.839774109398228,0.00465200226448452,0.00604272564566011,0.690281024125003,0.914657442450219,0.729566030406051,0.954237677489528
"25",2500,0.851385001542163,0.00461670379342215,0.00700853283659649,0.690707465550201,0.914231001025021,0.741555075329467,0.965043856299838
"26",2600,0.84142767302288,0.00454532008267814,0.00606217104526816,0.691574864645835,0.913363601929388,0.731865174582493,0.952103319904466
"27",2700,0.853170231435118,0.00445144968966066,0.0070211506128762,0.692725939328042,0.91221252724718,0.744986626848925,0.964206210521145
"28",2800,0.87025584264652,0.00412197304764749,0.00871617306141529,0.696865364054423,0.9080731025208,0.76605592131255,0.976885609208322
"29",2900,0.871606551911871,0.00392758201199115,0.00870676532214121,0.699385559493137,0.905552907082085,0.769955713857954,0.975413505063554
"30",3000,0.875947965699409,0.00377623974137943,0.00917460861027567,0.701391141134148,0.903547325441075,0.777207100401695,0.976059541506376
"31",3100,0.861539272077378,0.00354970893074293,0.00703826847158133,0.704469785526333,0.90046868104889,0.763725214319741,0.958544119191352
"32",3200,0.856648922225444,0.00357187986903298,0.00650660418645955,0.704164217146636,0.900774249428586,0.758829589154808,0.956958963736314
"33",3300,0.85797585430588,0.003295058547727,0.00637538451288317,0.708050357607672,0.896888108967551,0.762923405472846,0.952716977528316
"34",3400,0.850882991043811,0.00309091797604664,0.00543419173252743,0.711021910214495,0.893916556360727,0.758970048666901,0.943106579361589
"35",3500,0.837899786948992,0.00310578483217917,0.00436048780796469,0.710802250013746,0.894136216561477,0.747237213286877,0.92981046390564
"36",3600,0.83818784606014,0.0030528097791512,0.0043280185155892,0.711587389586127,0.893351076989095,0.748735950638882,0.930316485854433
"37",3700,0.837670445081445,0.0028390030759829,0.00407756058712205,0.714827655321544,0.890110811253679,0.749188878243524,0.926212156836242
"38",3800,0.835948966600801,0.00278213519747461,0.00390247131315744,0.715709866808044,0.889228599767178,0.749050615861244,0.920890759325871
"39",3900,0.825493582459826,0.00274377020963804,0.00327334211040018,0.716310138989747,0.888628327585475,0.742255213955768,0.913122375052284
"40",4000,0.81261178548381,0.00262654900339392,0.00272889505864586,0.718170701491421,0.886767765083801,0.729491105654838,0.897863208827055
"41",4100,0.807274458091164,0.00247989907547059,0.00250249328106818,0.72055785000997,0.884380616565253,0.725640000486246,0.889461719153043
"42",4200,0.808738853264094,0.00254647424551689,0.00258527308531731,0.719465638630628,0.885472827944594,0.72604861773048,0.891932494171012
"43",4300,0.801893680411769,0.00225039228917658,0.00225027347183164,0.724440173783293,0.88049829279193,0.724620380662892,0.881922895899394
"44",4400,0.801330078542938,0.0023594493523146,0.00236027513597645,0.722571844403966,0.882366622171256,0.722194421028127,0.881827321943721
"45",4500,0.797652454238821,0.00221579140265309,0.00223854960477742,0.725042365049971,0.879896101525252,0.721982414718613,0.874790177497319
"46",4600,0.791640372333143,0.00211902065310659,0.00223586107854718,0.726751979922836,0.878186486652386,0.716301811325416,0.870177831778173
"47",4700,0.80411224279102,0.0023370315561992,0.00233926363011626,0.722952314151561,0.881986152423662,0.725448639568701,0.88483886304135
"48",4800,0.801251998457124,0.00240150376315551,0.00240250512303543,0.721862950738477,0.883075515836746,0.720614088736875,0.88299650219014
"49",4900,0.806692590670077,0.00225526599078036,0.00227265168516223,0.724355725245789,0.880582741329433,0.72947457554596,0.886629837869366
"50",5000,0.800189606787946,0.0021654056732679,0.00217016928911122,0.725927746858544,0.879010719716678,0.72543463145166,0.876947505812289
