"","n","estimate","variance","mse","normal_lower_bound","normal_upper_bound","empirical_lower_bound","empirical_upper_bound"
"1",100,3.81649347139765,0.157268376333219,0.332311179135826,3.58261135785856,4.88721309957832,3.08195415518331,4.43831291625609
"2",200,4.29372971871632,0.0796304929117775,0.0830740639428463,3.77075303313588,4.699071424301,3.77160985673958,4.70202711480462
"3",300,4.11019278993888,0.0803646208279875,0.09590348631331,3.768618358051,4.70120609938588,3.64662490826716,4.5338569618546
"4",400,4.27029933082497,0.0546841077425936,0.0559254179165428,3.85026923873159,4.61955521870529,3.88491107348809,4.6563698378253
"5",500,4.27295731793071,0.039962155003239,0.0414015913854082,3.9060971638559,4.56372729358098,3.95229039658591,4.60188516649927
"6",600,4.306694115202,0.0304821774333182,0.0356287202249699,3.94773483472426,4.52208962271262,4.02757261099216,4.5967932415573
"7",700,4.20412386784068,0.0290825272544697,0.0300246339145577,3.95440547079293,4.51541898664395,3.93539069740538,4.49951435752065
"8",800,4.25784513696717,0.0251324583206322,0.0256533501097125,3.9741499651627,4.49567449227418,3.99844594154684,4.5224843556134
"9",900,4.24256432109921,0.0227481744683479,0.022802179351258,3.98682721400482,4.48299724343206,4.00456013600861,4.49739748565286
"10",1000,4.25844231146907,0.0244235529400614,0.0249723330237251,3.97785390112967,4.49197055630721,4.01320003267732,4.52862542394848
"11",1100,4.27552615926939,0.0232875998080225,0.0249324336428586,3.98390303920103,4.48592141823585,4.03248874980697,4.53743773881342
"12",1200,4.26912078719849,0.0196765935109214,0.020842883665502,4.00418321283104,4.46564124460584,4.04157766213971,4.50683398901822
"13",1300,4.28302744862585,0.0204780417844311,0.0227890205628127,3.99953119315576,4.47029326428112,4.05394504616804,4.53031375281258
"14",1400,4.33739427704209,0.0193503234745632,0.0298490236384802,4.00610414098719,4.46372031644969,4.11175103532893,4.57143396148507
"15",1500,4.29066054783179,0.0189229724632547,0.0220270629527265,4.00864485528606,4.46117960215082,4.06675715304244,4.52897503455879
"16",1600,4.26455283881281,0.0172531117573229,0.0181282269017378,4.01885889368794,4.45096556374894,4.05394200132682,4.48955775921631
"17",1700,4.20349043197775,0.0154513930458275,0.0164356320776316,4.03045094800301,4.43937350943387,4.01246390514388,4.4127882382856
