"","n","estimate","variance","mse","normal_lower_bound","normal_upper_bound","empirical_lower_bound","empirical_upper_bound"
"1",100,8.81788120881209,0.101900497611587,0.111497428767888,8.19474548948985,9.24488114602588,8.29861793697809,9.32834899997139
"2",200,8.94216668108765,0.0530727752518485,0.102503178880865,8.34087968283835,9.09874695267738,8.56835509979457,9.33557526949423
"3",300,8.90504158080494,0.0362200038609992,0.0705222692916643,8.4067721154323,9.03285452008343,8.59608550380201,9.21704885762228
"4",400,8.86265001201897,0.0263920955441768,0.0467891383525097,8.45259624992834,8.98703038558739,8.59721584918776,9.12935189649784
"5",500,8.92323926949018,0.0227681138197447,0.0641456780351797,8.47161960045803,8.9680070350577,8.67255728805455,9.17121612410386
"6",600,8.93048706460805,0.0183349608550714,0.0627147214747958,8.4970891984476,8.94253743706813,8.71029355003824,9.1539715203079
"7",700,8.92193110249859,0.0160666576811118,0.0569150432580744,8.51132101449867,8.92830562101706,8.7164279128151,9.13454950369558
"8",800,8.84968392417405,0.0142804017978543,0.0311439201284034,8.52325226463178,8.91637437088395,8.65657181952268,9.05016884672897
"9",900,8.79810118234396,0.0119227011150223,0.0180493063162501,8.54020990477001,8.89941673074572,8.61410181114327,8.97375577950514
"10",1000,8.76631786067577,0.01118259528805,0.0133430312809954,8.54587368029308,8.89375295522265,8.59303857313211,8.94220367190688
"11",1100,8.75889831438914,0.0101939905279845,0.0117195886915453,8.55374018825132,8.88588644726441,8.59461552044731,8.92723645563546
"12",1200,8.7494031860718,0.00910838466004463,0.00998212328994869,8.56283201156389,8.87679462395184,8.59058054075308,8.90669173675343
"13",1300,8.72398550701036,0.00858604709654814,0.00860173705028745,8.56739965853199,8.87222697698374,8.57113935943533,8.8756838817943
"14",1400,8.72908534757072,0.00795023900159975,0.00803461949064987,8.57315140351537,8.86647523200036,8.58303813953001,8.87733331164198
"15",1500,8.72586720344001,0.00766274762446059,0.00769786460678823,8.57582756611644,8.86379906939928,8.58382829245347,8.86785863673721
"16",1600,8.71303652322179,0.00727214504070819,0.00731661555588418,8.57954534417829,8.86008129133744,8.57084601454547,8.8514778076709
"17",1700,8.6953824502834,0.00662254536503953,0.00721808814152146,8.58595673681456,8.85366989870117,8.56156303512006,8.82931343183919
"18",1800,8.66710510244884,0.00625617351913642,0.00903307824549515,8.58971201371988,8.84991462179585,8.53888440472099,8.79852989456723
"19",1900,8.62653044214101,0.00575499720149027,0.0144555410853995,8.59503192889386,8.84459470662187,8.50222193965749,8.75056936538377
"20",2000,8.63013262166992,0.00554612319900646,0.0135876412251843,8.59731728795821,8.84230934755752,8.50635466693742,8.75048999474719
"21",2100,8.64654532638885,0.00514954994849135,0.0105167185977521,8.6017780215339,8.83784861398182,8.5292442632434,8.76534278220884
