"","n","estimate","variance","mse","normal_lower_bound","normal_upper_bound","empirical_lower_bound","empirical_upper_bound"
"1",100,8.66985319506389,0.112262590669385,0.113274206306213,8.15089188258836,9.25312836778625,8.14848657717296,9.17330336222235
"2",200,8.8200735843379,0.0454097316402362,0.0593396300805122,8.35149906660074,9.05252118377386,8.3720679378382,9.02919882848741
"3",300,8.84834202447819,0.0237919441830912,0.045200210544334,8.44829741591801,8.9557228344566,8.56849634183886,9.04408017404709
"4",400,8.81868283699353,0.0207875770466287,0.034395941211438,8.46485681400441,8.9391634363702,8.55959742490892,9.01389047740504
"5",500,8.84032314786601,0.0155989588940071,0.0347263313447496,8.49657482849663,8.90744542187798,8.59600538728383,9.0207050212967
"6",600,8.90546431215966,0.0145488729333973,0.0559395693553941,8.50361000439747,8.90041024597713,8.72919831515335,9.11350070492411
"7",700,8.91258036528648,0.0129268096431287,0.057264050296626,8.51499663580137,8.88902361457324,8.74822878847739,9.11350070492411
"8",800,8.83953954876286,0.0139664150744812,0.0328779641404922,8.50762200085369,8.89639824952092,8.63570657313248,9.00923390621262
"9",900,8.80620427198477,0.0111299672808026,0.021984161514199,8.52848027149961,8.875539978875,8.60959691642934,8.95063898869903
"10",1000,8.78712262636191,0.0113003807951164,0.018542258575155,8.52715684014807,8.87686341022654,8.59581385959526,8.93062372091481
"11",1100,8.77188307506057,0.0111025021382156,0.0159825107617805,8.52869451139521,8.8753257389794,8.56849634183886,8.92306813279701
"12",1200,8.77089278073171,0.00920030245471755,0.0139432826290754,8.54423871433585,8.85978153603876,8.59621707578173,8.91499450998505
"13",1300,8.74801935015215,0.0104115056869214,0.0125262721676495,8.53417454773566,8.86984570263895,8.55959742490892,8.894024360751
"14",1400,8.74961436546132,0.00967543414724875,0.011939662752486,8.54021609710647,8.86380415326813,8.56389132632449,8.89523331904013
"15",1500,8.74875872859408,0.00881316365287351,0.0109968329406268,8.54759381377266,8.85642643660194,8.59581385959526,8.89031566343271
"16",1600,8.74268686146499,0.00811514980826805,0.00976812365251087,8.55383492333907,8.85018532703553,8.58129232563525,8.87699649252372
"17",1700,8.72309196842785,0.00775375990709785,0.00819665326953543,8.55717182099509,8.84684842937952,8.55959742490892,8.86616330222979
"18",1800,8.67237345083826,0.00834762450712965,0.00922428744869958,8.55172752192761,8.852292728447,8.51973183872962,8.81203998797706
"19",1900,8.63345428263472,0.00802907137347265,0.0127273691072931,8.5546228750706,8.84939737530401,8.47000152520108,8.77014203208959
"20",2000,8.62517563567501,0.00749707792976658,0.0133991172927951,8.55958937488131,8.8444308754933,8.47845951958077,8.76524233490971
"21",2100,8.65858178832882,0.00709660465269919,0.00898120577406273,8.56344543897753,8.84057481139708,8.52307163087717,8.79014915711521
"22",2200,8.69156448376864,0.0061775552920331,0.00628543120562192,8.57272886481801,8.83129138555659,8.551695851455,8.80546196632836
"23",2300,8.67776725989307,0.00625755628973174,0.00684402129614804,8.57189444412496,8.83212580624965,8.54259016783505,8.79612510472775
"24",2400,8.69979069762091,0.00612514949721374,0.00612885032603678,8.57327839589129,8.83074185448332,8.56087267817592,8.81336106933699
"25",2500,8.7150035470451,0.00576301335468274,0.00593068976358644,8.57714186237555,8.82687838799906,8.59060032800091,8.82719873453045
"26",2600,8.71375109474229,0.00576323233600875,0.00589993005563266,8.57713949004389,8.82688076033072,8.57662344261692,8.82718075726294
"27",2700,8.71837201500262,0.00594665528215093,0.00621317738942314,8.57516796235339,8.82885228802122,8.58598484376978,8.8298299334984
"28",2800,8.72028436171633,0.00583082766818528,0.00616360922337045,8.57640933844766,8.82761091192695,8.58752405478623,8.8344294967944
"29",2900,8.71615953973547,0.00548759744829821,0.0056867058608645,8.58016213236447,8.82385811801014,8.58759929821079,8.82855024460934
"30",3000,8.72524559979868,0.00529824703679019,0.00583707466779899,8.58228277831714,8.82173747205747,8.59621229328638,8.83312812862642
"31",3100,8.72094940302575,0.00523882650675633,0.0055964749864967,8.58295605023606,8.82106420013855,8.59581385959526,8.8298299334984
"32",3200,8.73577499452049,0.00505481148258377,0.0061938669213746,8.58506564212636,8.81895460824824,8.61191223089895,8.84498286815903
"33",3300,8.74025789128749,0.0050460955585569,0.00650797795109955,8.58516650830049,8.81885374207412,8.62176352750354,8.85646806786403
"34",3400,8.7283709916851,0.00512070029269766,0.00581457143515356,8.5843059317306,8.819714318644,8.59873999996278,8.84097043092726
"35",3500,8.73147561486535,0.00523941945894932,0.00610658665702462,8.58294931290879,8.82107093746582,8.602396873471,8.84697767643327
"36",3600,8.72933689916989,0.00516798226137271,0.00591370124121573,8.58376376973337,8.82025648064124,8.59642899215432,8.84094703946794
"37",3700,8.7212898087306,0.00512542080349119,0.00549610191686016,8.5842516915005,8.81976855887411,8.59495108451345,8.83112460832596
"38",3800,8.7220057710125,0.00495324939335147,0.00535208459543964,8.58624643712976,8.81777381324485,8.59757518009534,8.8312584751345
