"","n","estimate","variance","mse","normal_lower_bound","normal_upper_bound","empirical_lower_bound","empirical_upper_bound"
"1",100,3.06643269327898,0.078498715638107,0.16837384157446,2.90540180514696,3.82709955658086,2.61736768611681,3.54773071246146
"2",200,3.20962177366558,0.0363792543345437,0.0609045930538207,3.05252205062801,3.67997931109982,2.91030327345824,3.52807041916471
"3",300,3.29196723349841,0.0247297214151001,0.0302428060233199,3.1075861570184,3.62491520470943,3.0394129667358,3.55345648485137
"4",400,3.30400991234237,0.0159324226921091,0.0198031494737229,3.15863116848004,3.57387019324779,3.09958605782081,3.51372431010089
"5",500,3.36374646162246,0.0142008979506797,0.0142043288850988,3.17023755249559,3.56226380923224,3.16905712786638,3.56697117092454
"6",600,3.36842660112271,0.0113607541547329,0.0113632166328746,3.19093093286921,3.54157042885861,3.19336602100256,3.54358179721748
"7",700,3.35520279096833,0.0106465916064912,0.0107665181593148,3.19653086402048,3.53597049770735,3.18586192924443,3.52682624691407
"8",800,3.35974617576221,0.0102755195856647,0.0103157730683656,3.19951476765856,3.53298659406927,3.19249920972721,3.52865472155146
"9",900,3.33690242000405,0.00846964361164603,0.00932927009842217,3.21487370496596,3.51762765676187,3.18898481162739,3.49198517763802
"10",1000,3.35425780685598,0.00778649742883652,0.00792876915632093,3.22110693436094,3.51139442736689,3.2110789417825,3.50238249064558
"11",1100,3.34155161089996,0.00677958769149464,0.00738827583104054,3.23081630893349,3.50168505279434,3.20737232928447,3.47809752584753
"12",1200,3.33565911594191,0.00605516345901618,0.00698979627070177,3.23825650966843,3.4942448520594,3.21009508224082,3.46422734407493
"13",1300,3.34106106112841,0.00549176281436695,0.00612518140422338,3.24435645239572,3.4881449093321,3.22250286211467,3.46833331063734
"14",1400,3.36794197315927,0.00521744606057408,0.00521926304099031,3.24743979316299,3.48506156856484,3.24757373717102,3.48757261158403
"15",1500,3.36017012462737,0.00490277909000613,0.00493877169833384,3.25107828020368,3.48142308152415,3.2454963890295,3.47503628915425
"16",1600,3.35943662114242,0.00446362042777406,0.00450915911357658,3.25635746437659,3.47614389735124,3.25054771280155,3.46945515138296
"17",1700,3.34178448433907,0.00407102674340966,0.00466880731045319,3.26130145620227,3.47119990552555,3.2387950904362,3.44932176788759
"18",1800,3.36054710861017,0.00433734664991108,0.00436900991703473,3.25792303048411,3.47457833124372,3.25324282675454,3.46860877009255
"19",1900,3.33099497617717,0.00398792654403171,0.00523009367168152,3.26237812165496,3.47012324007287,3.22557467639365,3.43530741544394
"20",2000,3.33859123530676,0.00374555709007623,0.00450985290718714,3.26558406540975,3.46691729631808,3.23977521056698,3.44000428637919
