"","n","estimate","variance","mse","normal_lower_bound","normal_upper_bound","empirical_lower_bound","empirical_upper_bound"
"1",100,3.07359198871249,0.0457795536130861,0.131419507794142,3.01431521574382,3.718186145984,2.73447986784497,3.43177781400882
"2",200,3.21302259752108,0.0241753912580823,0.0476494017047493,3.11050164065359,3.62199972107423,2.96062578748784,3.47054647218803
"3",300,3.27736806030157,0.0169667189939541,0.0248634458881853,3.15199803674588,3.58050332498195,3.06685720557724,3.48939800873204
"4",400,3.28735158093772,0.0133055154864785,0.019527922352544,3.17651757798567,3.55598378374216,3.10045908949159,3.4759322970973
"5",500,3.34477193336492,0.0104343254505487,0.0108935751795841,3.19823127448288,3.53427008724494,3.17858818544033,3.51739393884497
"6",600,3.34743541431088,0.00828139222064034,0.0086337501976579,3.21656545609757,3.51593590563025,3.19737440809785,3.49762883740655
"7",700,3.33672960633618,0.00732893871084325,0.00819896676437328,3.22543604329172,3.50706531843611,3.1940844002297,3.47546586915267
"8",800,3.3379088577509,0.00623816134196887,0.00704017264706979,3.23633679944874,3.49616456227908,3.21088033132032,3.46882040385571
"9",900,3.3156303066971,0.00563297424604078,0.00819426993197936,3.24279924669459,3.48970211503324,3.19206696041801,3.43978583241526
"10",1000,3.33135184285902,0.00521226349154585,0.00642914993293944,3.24749881616035,3.48500254556747,3.2121179040886,3.45036925410567
"11",1100,3.31902062858897,0.00472965819495581,0.0069593901012106,3.2531299675994,3.47937139412842,3.20533007982961,3.43546033913317
"12",1200,3.31562653758776,0.00424147575103752,0.00680343133833174,3.25912693487861,3.47337442684922,3.20923820573784,3.42200122589803
"13",1300,3.31433545412031,0.00403116509711984,0.00672554963193962,3.26181652772956,3.47068483399827,3.213222793295,3.41950986652108
"14",1400,3.34336012411039,0.0036896242841759,0.00421286394780547,3.26633852529652,3.46616283643131,3.24129604324748,3.44143080977874
"15",1500,3.33352577162814,0.0034638715976346,0.00453409850780455,3.26944337160058,3.46305799012725,3.23845390888823,3.4313675957668
