"","n","estimate","variance","mse","normal_lower_bound","normal_upper_bound","empirical_lower_bound","empirical_upper_bound"
"1",100,0.452843964479024,0.148329536298257,0.1689677884073,-0.324411360079478,0.942572469305502,-0.138977142285075,1.08386615982049
"2",200,0.331502544758956,0.0554303764959727,0.0559220360627783,-0.078178134491213,0.696339243717237,-0.0706812964493942,0.715072394033292
"3",300,0.184756101305809,0.0346850118911561,0.0501346445789127,0.00274445344741536,0.615416655778609,-0.130655958940393,0.495501456062661
"4",400,0.166264637794612,0.0207599084946092,0.0411521426095903,0.0720851231481641,0.54607598607786,-0.0678786909016244,0.410073001554485
"5",500,0.219918008438904,0.016024791170621,0.0239715458526367,0.100860073259905,0.517301035966119,0.0155708845374396,0.429356562172238
"6",600,0.123839530065797,0.013164907937358,0.0474765121310727,0.120352627443535,0.49780848178249,-0.0642724731229789,0.316446659573842
"7",700,0.161823499163938,0.0159359087147074,0.0376173619124962,0.101438329841318,0.516722779384706,-0.037910715800928,0.366593456121895
"8",800,0.269676254884682,0.0179869747100738,0.0195360761522119,0.0884801428141677,0.529680966411857,0.0525761470501965,0.49587460135447
"9",900,0.212230014897547,0.0165427070267363,0.0259194255285077,0.0975220220287545,0.52063908719727,0.00375549049597113,0.427816854990199
"10",1000,0.199850918749951,0.0140556409293496,0.0259839431519408,0.11407248475559,0.504088624470435,0.00983225710527488,0.400916985452705
"11",1100,0.182805208560478,0.0120000435371044,0.0279431065490843,0.128895540694893,0.489265568531131,0.00445888060672872,0.366787796701281
"12",1200,0.152992973610704,0.0104899542476271,0.0348511891999297,0.140613860431558,0.477547248794467,-0.00859380968190436,0.324719902474899
"13",1300,0.169057614538453,0.00989088098325865,0.0294953265541857,0.145495077569687,0.472666031656337,0.00883267964183,0.338635492447561
"14",1400,0.164259791488086,0.00805648320726346,0.0290279253427081,0.161441923474542,0.456719185751482,0.01989369353418,0.311848733742975
"15",1500,0.174621567742459,0.00738351741911062,0.0254612598658823,0.167742565305557,0.450418543920467,0.036060767693093,0.320604406020333
"16",1600,0.159347580086971,0.00672081426226398,0.0291394337598275,0.174234512648632,0.443926596577392,0.0242872963305072,0.294669018641706
"17",1700,0.1662533793984,0.0062724197664789,0.0266707672623112,0.178810434322381,0.439350674903644,0.036374487341703,0.298176367171485
"18",1800,0.190274128252188,0.00719655617896331,0.0213100838123575,0.169543479030843,0.448617630195182,0.0548900399949962,0.333360764403102
"19",1900,0.192044545911664,0.00726777450394785,0.0209637482817892,0.168854737678335,0.449306371547689,0.0543774376085644,0.33583867348458
"20",2000,0.194865468483414,0.00619242368812928,0.0192362711029832,0.179643807997518,0.438517301228506,0.0677203712914326,0.326223343035851
"21",2100,0.191391840655769,0.00609051734066038,0.019939932630102,0.180713271697628,0.437447837528396,0.0659901039238406,0.322232709743301
"22",2200,0.169116800009631,0.00558061837207758,0.0251693548510788,0.186204171583648,0.431956937642377,0.0479232875405159,0.29648708689728
"23",2300,0.16612618645859,0.00514768099030952,0.0255826028285417,0.191066679974886,0.427094429251138,0.0477451429641613,0.286873096792421
"24",2400,0.151999595034246,0.00516687024753069,0.0298402647356671,0.190846921596146,0.427314187629878,0.0360262076714658,0.271843000149289
"25",2500,0.172814008540303,0.00527593654544392,0.0238434529367207,0.189605554781464,0.428555554444561,0.0552476379494328,0.291923743938457
"26",2600,0.192908795151879,0.00561031659294689,0.0191050722259238,0.185877651508214,0.432283457717811,0.0727835134984992,0.320858827218562
"27",2700,0.172139412513384,0.00517694533898881,0.0239287863494716,0.190731703439412,0.427429405786612,0.0569178138069183,0.293903234926439
"28",2800,0.193131920766867,0.00483550826629677,0.018278626855431,0.194701020879466,0.423460088346559,0.0802784664992402,0.310282067150198
"29",2900,0.195234568843611,0.00453829550196575,0.017498296318672,0.198271910148358,0.419889199077666,0.0860943259789706,0.307710455958829
"30",3000,0.193250313576336,0.00435748217079745,0.0177732554129778,0.200501747456466,0.417659361769559,0.0867835582161823,0.304055503572373
"31",3100,0.183951310478494,0.00417783252268567,0.0198343246938569,0.202763540762645,0.415397568463379,0.0785393750007608,0.292914161045056
"32",3200,0.181861262838663,0.00395034626104305,0.0201343043913579,0.205698576164274,0.41246253306175,0.0793294552942387,0.285362967872114
"33",3300,0.175758208314644,0.00376948105480182,0.0215435751810929,0.208092957388622,0.410068151837403,0.0768179156703309,0.278220529603629
"34",3400,0.18510818481611,0.003823620383204,0.0191920041321872,0.207370323570489,0.410790785655535,0.0829508917488235,0.286221679321506
"35",3500,0.326190843215608,0.0240107878093376,0.0242987476278399,0.0542036631826055,0.563957446043419,0.11148468133189,0.608791374874473
"36",3600,0.31931672679836,0.0232868755836392,0.0233869974295306,0.0580752682112129,0.560085841014812,0.1089404264074,0.601814541621353
"37",3700,0.304985547914246,0.0222197873561948,0.0222321124785865,0.0638936866266846,0.55426742259934,0.0981384861847099,0.573992551384106
"38",3800,0.30754672492448,0.0212511635663729,0.0212492659671731,0.0692974307720899,0.548863678453935,0.105108990506676,0.575174866924963
"39",3900,0.302333384003825,0.0197217216498637,0.0197633016167632,0.0780871025125674,0.540074006713457,0.109100298906416,0.55929495570994
"40",4000,0.299353262659153,0.0180150091454888,0.0181060263524153,0.0883082962356377,0.529852812990387,0.111077673961895,0.542016499906262
"41",4100,0.304044513295412,0.0185860484918698,0.018607692994324,0.0848365762441866,0.533324532981838,0.114100589910331,0.556805656410268
"42",4200,0.297236347602513,0.0176985081934281,0.017835253731497,0.0902562346895095,0.527904874536515,0.114143068921406,0.542911582191195
"43",4300,0.319074699381768,0.0177574665609593,0.0178537979973059,0.0898920571608843,0.52826905206514,0.13171341126667,0.559691944088531
"44",4400,0.31404061939619,0.0168264183361516,0.0168476552951377,0.0957155950126924,0.522445514213332,0.132101745878668,0.552046197073978
"45",4500,0.309099554232383,0.016554943198212,0.0165516325705579,0.0974437945668332,0.520717314659191,0.131473190857322,0.540905018200091
"46",4600,0.303658043312793,0.0155631413026468,0.0155894323031873,0.103881248872135,0.51427986035389,0.125698966667447,0.53155935402724
"47",4700,0.302996635183294,0.0150227465427454,0.0150567560690642,0.107475263087072,0.510685846138953,0.129703575028304,0.523878553821431
"48",4800,0.29725593920582,0.0143898173757656,0.0145267609418185,0.111767918913645,0.506393190312379,0.131404654810717,0.513043792301852
"49",4900,0.308994326573814,0.013402302807494,0.0133996297822073,0.118658621447161,0.499502487778864,0.146207205682009,0.521615689461566
"50",5000,0.305935053922671,0.0132272345640637,0.0132344832917438,0.119906407619859,0.498254701606165,0.144139151598427,0.515497017573792
