"","n","estimate","variance","mse","normal_lower_bound","normal_upper_bound","empirical_lower_bound","empirical_upper_bound"
"1",100,2.29389426137652,0.0478033142712171,0.063662905485477,1.80829115144908,2.52755172734785,1.92343148688993,2.63218193231605
"2",200,2.34217183549421,0.0277908055120489,0.0581484478904713,1.89371488962775,2.44212798916919,2.03697224657048,2.60097157504002
"3",300,2.3405855057318,0.0133524080905531,0.0431626174116975,1.97785429256397,2.35798858623296,2.14225732362449,2.5258079323315
"4",400,2.31071967760328,0.0124730298445156,0.0328618720729455,1.98421971309039,2.35162316570654,2.10986546732774,2.48645068296574
"5",500,2.26679186655828,0.0114509971112277,0.0212240682785699,1.99190675172398,2.34393612707295,2.08455581269532,2.43632141734769
"6",600,2.22076349546988,0.012456640483322,0.0152464320450795,1.98434044332406,2.35150243547287,2.02974282438388,2.39641846365475
"7",700,2.24670157816179,0.00911696897343774,0.0153214558432122,2.01086617610788,2.32497670268905,2.08501496464689,2.39137834863997
"8",800,2.18779825126843,0.00747454485741097,0.00786813759855337,2.02571487868022,2.31012800011671,2.04199150839133,2.32116057365208
"9",900,2.17296811249493,0.00704211906717503,0.00706617955270412,2.02988970701364,2.30595317178329,2.02836458666892,2.30773883595082
"10",1000,2.14499158123418,0.00612715748200593,0.00665171044594388,2.03916861101146,2.29667426778547,2.01252482297598,2.27257271663548
"11",1100,2.14708390853805,0.00562703426225753,0.00606011154776386,2.04453511230255,2.29130776649439,2.024991886252,2.27048927222981
"12",1200,2.14973500203531,0.00538925486975813,0.00571892352274832,2.04717019412403,2.2886726846729,2.0315078065816,2.27393575690048
"13",1300,2.16173281662958,0.00500484979209519,0.0050421478739124,2.05155633039352,2.28428654840342,2.04674847295124,2.27711932371944
"14",1400,2.1434423645755,0.00499786239667613,0.00559608792838503,2.0516375888783,2.28420528991863,2.02700820225719,2.25820400214172
"15",1500,2.15145765206094,0.00458787159124847,0.00485801031042542,2.0565092050975,2.27933367369943,2.03940010865217,2.26145965013593
"16",1600,2.15406030855533,0.00411129093951356,0.00430259962957625,2.06245449533881,2.27338838345812,2.04930306410756,2.26014374583224
"17",1700,2.13406123419689,0.00388172505518342,0.00502746220646547,2.06544131540532,2.27040156339161,2.03159184802427,2.23640961014739
"18",1800,2.12549972514575,0.00371361259152857,0.00551247170914954,2.06768501768432,2.26815786111261,2.02541346107366,2.2244803856567
"19",1900,2.14830136129743,0.00329403795580281,0.00367832661290251,2.07351718722271,2.26232569157422,2.05433771890622,2.2433005448508
"20",2000,2.14727770378924,0.00305208058078766,0.00347763398457492,2.07705045042662,2.25879242837031,2.05503523139345,2.23825364589471
"21",2100,2.13554023578387,0.00276827220404122,0.00381626089713009,2.08137849779837,2.25446438099856,2.04512173404759,2.22116865806407
"22",2200,2.11863901304139,0.00282643125931846,0.0052546235207068,2.08047412616301,2.25536875263392,2.03011735389664,2.20508341188947
"23",2300,2.13458020781015,0.00280477960452684,0.0039158563724316,2.08080971171954,2.2550331670774,2.04295620305853,2.22116130210249
"24",2400,2.12053045620424,0.002729733645234,0.0049750929866203,2.08198301379451,2.25385986500242,2.03212455565906,2.20469600962094
"25",2500,2.12507659059795,0.00276270640775705,0.00459783493521466,2.0814655417564,2.25437733704053,2.03775809680042,2.21056071075072
"26",2600,2.12021339007062,0.00256703349706235,0.00484257806103112,2.08458344881541,2.25125942998152,2.03493217269765,2.20254509717082
"27",2700,2.11274093613167,0.00255057271209456,0.00559495053832877,2.08485107581793,2.250991802979,2.02717523917429,2.19643333549749
"28",2800,2.10932536458059,0.00236661316877887,0.00579963983020684,2.08790284926364,2.24794002953329,2.02876149525577,2.18978112867642
"29",2900,2.12529113580352,0.00216097256242886,0.00397788315251379,2.09145834260819,2.24438453618874,2.04886899678187,2.20176584964852
"30",3000,2.12916098417169,0.00213739383085679,0.00363933924147712,2.0918766375518,2.24396624124513,2.05134887684636,2.20432546514994
"31",3100,2.13906638140304,0.00201259592702084,0.00284480777975505,2.09413007312781,2.24171280566912,2.06514975519008,2.21222080194397
"32",3200,2.13840244846905,0.00195731327483561,0.00282829263767151,2.09515059277466,2.24069228602227,2.06639813313846,2.21091920705443
"33",3300,2.13765764400286,0.0018187399687247,0.00273427353247795,2.0977738805166,2.23806899828033,2.06748036044078,2.20616262484141
"34",3400,2.13631553418454,0.00190541172484331,0.00290396388689006,2.09612189748136,2.23972098131557,2.06431923093186,2.20572767596398
"35",3500,2.14534825142084,0.00184898049605487,0.00235815951542894,2.09719310647699,2.23864977231994,2.07372267281886,2.21400965638781
"36",3600,2.13689267383999,0.00170963537304772,0.00267207773805612,2.09991046386922,2.23593241492771,2.06652352393463,2.2020366889142
"37",3700,2.13902644128732,0.00171772543871696,0.00255230280947257,2.09974973840272,2.23609314039421,2.06838429583348,2.20513759750578
"38",3800,2.14748841285035,0.00178326906682259,0.00220042098692505,2.09846129290688,2.23738158589005,2.07663231821957,2.21547464228793
"39",3900,2.14899004847396,0.00175434495311811,0.00211239164646386,2.09902690765513,2.23681597114181,2.07611394725009,2.21504385372232
"40",4000,2.14468454631504,0.00179138374753657,0.00233097867095765,2.09830343474507,2.23753944405186,2.07390767628007,2.21179924188276
