"","n","estimate","variance","mse","normal_lower_bound","normal_upper_bound","empirical_lower_bound","empirical_upper_bound"
"1",100,12.8433414165028,0.0288934914988358,0.0505437275558244,12.7109076157988,13.2700948717002,12.571065884468,13.124245003365
"2",200,12.9571184165321,0.0160574123690602,0.0171686140396159,12.7820689359736,13.1989335515255,12.7520530422602,13.1670804455636
"3",300,13.0366811680533,0.00984888838621666,0.011979504017243,12.8272633942677,13.1537390932313,12.8757081625596,13.2028046233336
"4",400,12.9435811515463,0.00761365492567426,0.00981362724705339,12.8469774678589,13.1340250196402,12.7992849981256,13.0864243844981
"5",500,12.9580874734438,0.00605271283670293,0.00710215479956846,12.8625329758279,13.1184695116712,12.8297792814947,13.0881546055371
"6",600,12.9319595276625,0.00492967713099353,0.00835582371798237,12.875013340952,13.105989146547,12.8170645728869,13.0470920610736
"7",700,12.9540267913463,0.00418572537471941,0.00551527390776216,12.8840838490802,13.0969186384189,12.849744716313,13.06044638882
"8",800,12.9330069277699,0.00361655212780571,0.00692142518735066,12.8915834044293,13.0894190830698,12.8334402715433,13.0319546558791
"9",900,12.943716816099,0.00334424918258802,0.00553236300334294,12.8953802077753,13.0856222797238,12.8468674822238,13.0388745693862
"10",1000,12.9484347863048,0.00287279162971978,0.00464180391334814,12.90233967282,13.0786628146791,12.8580583930327,13.0360172695068
"11",1100,12.9762616403691,0.00254515468997196,0.00274741196346558,12.907519157664,13.0734833298351,12.8933997844702,13.0588359666967
"12",1200,12.9841253128144,0.00234795372914108,0.00238813663368473,12.9107987290941,13.070203758405,12.9070517936017,13.0638902875863
"13",1300,12.9869903025915,0.00225914558929502,0.00227102046799262,12.9123205775912,13.0686819099079,12.9091872987896,13.0670915759522
"14",1400,12.9539887975327,0.00204790179282779,0.00338065094120845,12.9160654506778,13.0649370368213,12.880046100359,13.0288484189798
"15",1500,12.9731156633802,0.00202477822400616,0.00232663167313923,12.9164868838594,13.0645156036397,12.897573014606,13.0466061422774
