"","n","estimate","variance","mse","normal_lower_bound","normal_upper_bound","empirical_lower_bound","empirical_upper_bound"
"1",100,12.8267766966801,0.0631019109748746,0.0847203150006928,12.5606628174986,13.3870403636093,12.4652109329508,13.2349806641766
"2",200,12.8378919325971,0.0214096154431623,0.0398903621118082,12.7331761973021,13.2145269838058,12.6111351142771,13.136258699452
"3",300,13.0828192441434,0.028202022183429,0.0400703313077789,12.6976237923319,13.2500793887761,12.8128698725022,13.3200913133128
"4",400,12.9066228050252,0.0172308002441438,0.021747063687773,12.7579379994825,13.1897651816254,12.7254954632993,13.1586967932094
"5",500,12.9270799718227,0.0124284873584729,0.0146135859797436,12.7904781665879,13.15722501452,12.7651611927275,13.1408055192053
"6",600,12.8836981326624,0.00864368669850374,0.0167696039309633,12.8209271975802,13.1267759835277,12.7559658140457,13.0465500634197
"7",700,12.9569704105052,0.00830300948823581,0.00858632312617763,12.8239711282842,13.1237320528237,12.81682962816,13.1322400973969
"8",800,12.9269994148932,0.00591510623154429,0.00810904957444747,12.8473463458207,13.1003568352873,12.8090660425529,13.052278069767
"9",900,12.9464637390614,0.00599999297566582,0.00674888738644656,12.8464418510521,13.1012613300558,12.8148363348873,13.0666429833212
"10",1000,12.9441246348884,0.00414303586364622,0.00502589914961587,12.8679782532071,13.0797249279009,12.8362197140792,13.0571011830642
"11",1100,12.9668027595647,0.00396363007028932,0.0040125233625905,12.8702959369607,13.0774072441472,12.8736566537275,13.0666429833212
"12",1200,12.9767787348822,0.00374536712687849,0.00375318622737161,12.8731875278836,13.0745156532244,12.8884219338329,13.0866046592749
"13",1300,12.9752044398253,0.00346813653816785,0.00346927311201109,12.8769847019452,13.0707184791628,12.8897961272732,13.0725539571365
"14",1400,12.941844572929,0.00281885797892077,0.0038427433845664,12.8865215112405,13.0611816698674,12.8553174685069,13.0379606281391
"15",1500,12.9732333374913,0.00285530311003076,0.00285511428625826,12.8859587772027,13.0617444039052,12.893557479704,13.0626410183079
"16",1600,12.9674038319173,0.00251193043983328,0.00255300164518174,12.891412904498,13.0562902766099,12.8907065782311,13.0534625629226
"17",1700,12.9690535472846,0.00263205939010706,0.00265455419744337,12.8894646777434,13.0582385033645,12.8883119939893,13.0571011830642
"18",1800,12.9678680467053,0.00256001750988703,0.00259530830337423,12.8906275638775,13.0570756172304,12.8878645806524,13.053292747069
"19",1900,12.955610661329,0.00252289487359515,0.0028551217936096,12.8912331803137,13.0564700007942,12.8836923002771,13.0424769266979
"20",2000,12.9755772587887,0.0025710106671609,0.00257347439588405,12.8904490661261,13.0572541149819,12.893557479704,13.0605903347125
"21",2100,12.9752040287293,0.00249938373747752,0.00250071294974819,12.8916190464476,13.0560841346603,12.89410648094,13.0536323787761
"22",2200,12.9656379059037,0.00210130458275341,0.00216834893737046,12.8984515185452,13.0492516625627,12.8911504231058,13.0433389280686
"23",2300,12.968881547154,0.00208622877194498,0.00211051285758793,12.8987224843588,13.0489806967491,12.8958973209198,13.0480814452818
"24",2400,12.9575883428077,0.00183138850666243,0.00209551545621634,12.9034605315613,13.0442426495466,12.8909134483347,13.0393117113058
"25",2500,12.9623252781418,0.00177334807910817,0.00190584928731563,12.9045849298342,13.0431182512737,12.8965464025655,13.0414443939557
"26",2600,12.9772199375522,0.00183679706569402,0.00184777546778116,12.9033566667822,13.0443465143257,12.9094065482508,13.0497105827547
"27",2700,12.9849438567701,0.00163424536000233,0.00175695688073941,12.9073570656956,13.0403461154123,12.923345383077,13.0534625629226
"28",2800,12.9768950255965,0.00154463023705143,0.00155358380786196,12.9092059083559,13.038497272752,12.919662122498,13.0435175283045
"29",2900,12.9828142527425,0.00160320849001558,0.00168321716182372,12.9079915098092,13.0397116712988,12.9227211435843,13.0480814452818
"30",3000,12.9807707074928,0.00156100334509591,0.00160856532364046,12.9088641888353,13.0388389922726,12.9211365726576,13.0443188572768
"31",3100,12.9867123692046,0.00157408802500621,0.0017391728349025,12.9085923877376,13.0391107933703,12.9239696225697,13.0534625629226
"32",3200,12.9973266754876,0.00162134103685774,0.00217209638129389,12.9076201129234,13.0400830681845,12.9331998493739,13.061192357265
"33",3300,12.9928670437209,0.00155628813169784,0.00191756433321454,12.908962414512,13.0387407665959,12.9306394590589,13.0588245306279
"34",3400,12.9946026665578,0.00149847245476026,0.00192877991558841,12.9101791291509,13.037524051957,12.9338530272032,13.0579976758118
"35",3500,12.9993648884502,0.00141970465886541,0.00207034908747551,12.9118752027394,13.0358279783685,12.9373020501393,13.0606206792256
"36",3600,12.9877763095291,0.00138859798025906,0.0015822180592003,12.912557935288,13.0351452458199,12.9283822162594,13.0506828226491
"37",3700,12.9785070666257,0.00131966514502539,0.00134107466945108,12.9140986710042,13.0336045101037,12.9228279254777,13.0414010297437
"38",3800,12.9808035796726,0.00127943172809973,0.0013275059944592,12.9150165828041,13.0326865983038,12.9245253011428,13.0414214853532
"39",3900,12.9774647045345,0.00124346878718071,0.00125627468605963,12.9158493592389,13.031853821869,12.9230401146657,13.0369159689202
"40",4000,12.9829762062405,0.00120343667147192,0.00128645459556418,12.916790656379,13.0309125247289,12.927603608911,13.0420591259282
