"","n","estimate","variance","mse","normal_lower_bound","normal_upper_bound","empirical_lower_bound","empirical_upper_bound"
"1",100,12.8357263686487,0.0472819551896638,0.066351075724993,12.6161878037929,13.331515377315,12.4797079899511,13.1871928649559
"2",200,12.9549271276104,0.0256053818937359,0.0259583961150574,12.7106473478598,13.2370558332481,12.6898655159188,13.2154578250263
"3",300,13.037313439373,0.0153366258817455,0.0193609648121058,12.7701510560376,13.1775521250704,12.8325343597806,13.2410878757373
"4",400,12.9469112385204,0.0119974834805467,0.0127208665515448,12.7936857977507,13.1540173833572,12.7657389968788,13.1255834169
"5",500,12.9563410556374,0.00953400338221602,0.00983871541460472,12.8132444286897,13.1344587524182,12.7967522989913,13.1202186486646
"6",600,12.9288945453361,0.00799138499036841,0.0100109226280927,12.8268106460866,13.1208925350213,12.7848686326333,13.0784127972568
"7",700,12.953777300221,0.00677920788684867,0.00718082917764295,12.8384210123147,13.1092821687932,12.8191057265503,13.0900514315617
"8",800,12.932307798992,0.00587665789816848,0.00760136918393005,12.8477581596848,13.0999450214231,12.8074578859922,13.0596782277552
"9",900,12.9447149168181,0.00511586386792736,0.00596378645154542,12.8562029951526,13.0915001859553,12.8275079914975,13.0609439741689
"10",1000,12.9489196442702,0.00451050000446561,0.00513119984996003,12.8633827996591,13.0843203814488,12.8380108227802,13.0584808481029
"11",1100,12.9773758249922,0.00412842104311186,0.00414001558727884,12.8681651556205,13.0795380254874,12.8704122177651,13.0838832020602
"12",1200,12.9839024179148,0.00386654586331766,0.00396679168478219,12.8715720332101,13.0761311478978,12.8830699750917,13.0853179406214
"13",1300,12.9874524218517,0.00340904462528795,0.00359334542835304,12.8778134816041,13.0698896995038,12.8926762048232,13.084174067154
"14",1400,12.9538246416035,0.00311852904358019,0.00351898402203462,12.8819967276437,13.0657064534642,12.8612628900896,13.0448044877155
"15",1500,12.9718266072244,0.00304477348061171,0.0030482650834006,12.8830894455833,13.0646137355246,12.8791314893967,13.0630488436875
"16",1600,12.9809487695594,0.0029760502233919,0.00302582496318247,12.8841195828813,13.0635835982266,12.8919329032269,13.0694277819316
"17",1700,12.9847507241136,0.00270252727807456,0.00282077788496996,12.888342497548,13.05936068356,12.9000562043251,13.070517606297
"18",1800,12.9910608084679,0.002527324044428,0.00282297576082814,12.8911606900583,13.0565424910496,12.9095014929359,13.0736762417196
"19",1900,12.979901034339,0.0024679147250441,0.00250401691220796,12.8921383692883,13.0555648118196,12.897796708223,13.061186773608
"20",2000,12.9942274554788,0.00228910008439966,0.00270381813581898,12.8951543240886,13.0525488570193,12.9145486406484,13.0727947629551
"21",2100,13.0006203239607,0.0022299303287012,0.00294604943083678,12.8961780853935,13.0515250957144,12.9223866591111,13.0785360625918
"22",2200,12.992389009506,0.00207253153131733,0.00241575292641619,12.8989695224871,13.0487336586208,12.9171039153364,13.0658777512383
"23",2300,12.9873808040216,0.00200190821376896,0.00218454744917853,12.900256416368,13.0474467647399,12.9138820502084,13.0611362002937
"24",2400,12.9825117141324,0.00195648272217746,0.00203108916602682,12.901096185105,13.0466069960029,12.9105909186586,13.0561201653732
"25",2500,12.9874166369522,0.00187073928282593,0.00205437561875557,12.9027083096276,13.0449948714803,12.917621349774,13.0594974306685
"26",2600,12.9951748788886,0.00179587019510397,0.00225019364646767,12.9041464626883,13.0435567184196,12.924786306219,13.0640730915171
"27",2700,13.0066759209181,0.00176147598213295,0.00283856035078899,12.9048171801994,13.0428860009085,12.9364931227609,13.0753075942362
"28",2800,13.0018228592639,0.00169119650158696,0.00247325013553171,12.9062083675049,13.041494813603,12.9340192090183,13.0687072545212
"29",2900,13.0061729951656,0.00165386410136531,0.00269820652461313,12.9069591306395,13.0407440504685,12.9403911394091,13.0738026802303
"30",3000,13.0045142172304,0.00153333569073135,0.00247322569829448,12.9094426910059,13.038260490102,12.9403575884465,13.0683881829242
"31",3100,13.0051536616862,0.00147882812842031,0.00245835201996225,12.9105978652678,13.0371053158401,12.9404402623234,13.0685342152379
"32",3200,13.0097143889828,0.00147730251998678,0.00276314737062758,12.9106305010136,13.0370726800943,12.9466678862122,13.0733562242977
"33",3300,13.0041039289097,0.00143033868408089,0.00234525659233608,12.9116435246472,13.0360596564607,12.9415997412189,13.066279368626
"34",3400,13.0046633444604,0.00139384527252047,0.00234293068225596,12.9124422349712,13.0352609461367,12.9437099175242,13.0660900863498
"35",3500,13.0056984053245,0.00139799762618411,0.00241193763768695,12.9123508318077,13.0353523493002,12.9441417457315,13.0676023005604
"36",3600,13.0016915169266,0.0013240301056863,0.00209882680010067,12.9139999323859,13.033703248722,12.9426600453438,13.0618827078366
"37",3700,12.9951817377092,0.00127020973278511,0.00172493086850437,12.9152290042253,13.0324741768826,12.9365524662768,13.0519350355212
"38",3800,12.9929192886111,0.00116584451690165,0.00152918845719502,12.9176889428137,13.0300142382942,12.9369417408869,13.0479619795081
"39",3900,12.9890374660968,0.0011714911774,0.0014018676951686,12.9175530977984,13.0301500833095,12.9325061095169,13.0455847853749
"40",4000,12.9913545438015,0.00123077539727695,0.001536882614584,12.9161461634299,13.031557017678,12.9313885891257,13.0482560100025
"41",4100,12.9858903877582,0.00115673219544059,0.00130143348712717,12.9179088589482,13.0297943221597,12.9290716717408,13.0419755712611
"42",4200,12.9891052309017,0.00113890138070256,0.001371347144284,12.9183417069708,13.0293614741372,12.9328840398007,13.0441511721176
"43",4300,12.9872606615319,0.00105478923262366,0.00123438145926901,12.9204308258292,13.0272723552787,12.9340420096124,13.0411103867384
"44",4400,12.9889802477648,0.00105506581004449,0.00128373106588613,12.9204238225301,13.0272793585778,12.9363490809764,13.0417955060071
"45",4500,12.9842083082368,0.00106599230078204,0.00117304070348382,12.920147880333,13.0275553007749,12.9303736501257,13.037231090728
"46",4600,12.9807597645118,0.00102771410780707,0.00107523143241667,12.921120905208,13.0265822759,12.9282139926014,13.0328643463599
"47",4700,12.9777125729682,0.00101099805082278,0.00102570303641607,12.9215515029966,13.0261516781113,12.9265959651401,13.0305596006091
"48",4800,12.9808597609399,0.000958581924641564,0.001007504660415,12.9229253198145,13.0247778612934,12.9300576497661,13.0320597611982
"49",4900,12.9903213575402,0.000988559432917364,0.00125961494561055,12.9221351473012,13.0255680338067,12.939213300099,13.0421182121172
"50",5000,12.989708694494,0.00095803763336393,0.00120929377120133,12.9229397800605,13.0247634010474,12.9382379077347,13.039094351592
