"","n","estimate","variance","mse","normal_lower_bound","normal_upper_bound","empirical_lower_bound","empirical_upper_bound"
"1",100,1.73804574666152,0.0151855609077172,0.0152198703159543,1.54146209463645,1.94685175859271,1.54225479613732,1.94270041437867
"2",200,1.79097759453637,0.00791693873089883,0.0101075302877957,1.59780248780298,1.89051136542618,1.64687747861301,1.93825893081668
"3",300,1.70336721726847,0.00484891298579335,0.00651174359173621,1.62961896440033,1.85869488882882,1.58960696381802,1.81924462709362
"4",400,1.76302444755489,0.00406600967918466,0.00442117982368197,1.63927239071053,1.84904146251862,1.65931977482836,1.86753841651081
"5",500,1.73244807825914,0.00296079825477037,0.00309730322493011,1.65465514821274,1.83365870501641,1.64373700765639,1.82313082316716
"6",600,1.74007703121037,0.00238157929484261,0.00239774852549291,1.66388572211651,1.82442813111265,1.65964439061792,1.82018895277562
"7",700,1.72919756098509,0.00208980319599099,0.00231316785538836,1.66896348702534,1.81935036620382,1.65253326498278,1.8041264145718
"8",800,1.72119227128874,0.00176839538627636,0.00229541710143352,1.67498705917512,1.81332679405404,1.65300247831367,1.79151395408935
"9",900,1.71963690740539,0.00163462428462417,0.00223552870178626,1.67765469331997,1.81065915990918,1.65404622366047,1.78666888216401
"10",1000,1.70029308732535,0.00146525916074371,0.00338900250610295,1.68119406191718,1.80711979131198,1.63652603636208,1.76361107498394
"11",1100,1.69122626474224,0.00130908904951472,0.00411048219794832,1.68464392544053,1.80366992778863,1.631353171432,1.75210121048973
"12",1200,1.70480785874054,0.00120282119793491,0.00275092977625073,1.68711058564059,1.80120326758856,1.64762968040462,1.76242708688106
"13",1300,1.70000847544385,0.00113588331614013,0.00308474188025145,1.68872064183106,1.79959321139809,1.64595308932927,1.75679307095997
"14",1400,1.69558122683545,0.00103067540900145,0.00339006788295118,1.69135032564348,1.79696352758568,1.6424416751801,1.74777444412533
"15",1500,1.70725862425253,0.000976458477860262,0.00233774790336547,1.69275798846435,1.7955558647648,1.65738536151415,1.75932313607675
"16",1600,1.72755591201475,0.000910045863189956,0.00118545753976099,1.69453668247894,1.79377717075021,1.67838219364594,1.77672963724721
"17",1700,1.71441316867899,0.000881258490502458,0.00176577337493521,1.69532780476762,1.79298604846153,1.66600452753294,1.76315398642243
"18",1800,1.72330183799887,0.000832683403070813,0.00126745158755914,1.69669261232993,1.79162124089923,1.67587082614956,1.77062353812693
"19",1900,1.73212444704969,0.000790435312715175,0.000935057790132164,1.69791239087032,1.79040146235884,1.68577783333091,1.77806000777872
"20",2000,1.73012155067492,0.000734990057484727,0.000931834837240799,1.69956379329954,1.78875005992962,1.68559319792498,1.77438197849427
"21",2100,1.72234614389486,0.000710831964669013,0.00118640004112265,1.70030277323121,1.78801107999795,1.67931382854712,1.76512051664384
"22",2200,1.7169739928396,0.000681595378867592,0.0014203709484068,1.70121410514653,1.78709974808263,1.67311001902705,1.75954427734559
"23",2300,1.71845276890276,0.00063108794823495,0.0012916654543195,1.70283579561232,1.78547805761683,1.67720937010658,1.75972378110553
"24",2400,1.722397225364,0.000602299387151882,0.00107566352578904,1.70378927664193,1.78452457658723,1.68147857625499,1.76217861226232
"25",2500,1.72841687565931,0.000593642842780327,0.000841273318286099,1.7040804184414,1.78423343478776,1.68848864868969,1.76826150020765
"26",2600,1.72512760057561,0.000581418586174939,0.000943417551954998,1.70449519127792,1.78381866195123,1.68497220443423,1.76430824443054
"27",2700,1.72613581354325,0.000559973110833574,0.000884621632541168,1.70523351997429,1.78308033325487,1.68846293985702,1.76538084602049
"28",2800,1.71670872914538,0.000521467490284886,0.00127476674109474,1.70659560402253,1.78171824920663,1.67909869050737,1.75401528845014
"29",2900,1.71950070702346,0.000505739979270652,0.00111356799580013,1.707166367138,1.78114748609115,1.68270085128586,1.75623231929555
"30",3000,1.73768262768256,0.000500493167341228,0.000542309615368911,1.70735874713896,1.78095510609019,1.70060002404498,1.77489065165655
"31",3100,1.73868708837234,0.000475352994447862,0.000505177054245233,1.70829485497178,1.78001899825737,1.70302686924407,1.77421918034506
"32",3200,1.73274017714632,0.000451813527167218,0.000582065332882671,1.70919407302825,1.77911978020091,1.69693905188394,1.76659657997016
"33",3300,1.73034115667114,0.000447807171519601,0.000638593109215309,1.70934943084712,1.77896442238204,1.69602305299409,1.76496572567006
"34",3400,1.72942645328336,0.000456055321275494,0.000672950954772866,1.70903033427797,1.77928351895119,1.69490379862928,1.76449174102667
"35",3500,1.73481098965342,0.000428272036189791,0.000515532919464464,1.71011711750693,1.77819673572223,1.70120853805643,1.76884399084185
"36",3600,1.73028545611894,0.000419060919872141,0.000611394801399617,1.71048516502378,1.77782868820537,1.69653938703746,1.76495103264337
"37",3700,1.72767143602061,0.000403679492395304,0.000675370156620701,1.71110889477904,1.77720495845012,1.6949002166838,1.76019654885117
"38",3800,1.72731126088292,0.000387792386908072,0.00067149128237351,1.71176573716517,1.77654811606398,1.69491125852216,1.76010280373671
"39",3900,1.72877968634751,0.000370721746727503,0.000607107120609392,1.71248669145364,1.77582716177552,1.69722407349251,1.76012655253636
"40",4000,1.73185192716419,0.000390286355974335,0.000541621310177192,1.71166174703931,1.77665210618985,1.69954878733719,1.7643843084686
"41",4100,1.7326462597478,0.000365728242094936,0.000498150548164361,1.7127007086064,1.77561314462275,1.70135486986509,1.7640614772305
