"","n","estimate","variance","mse","normal_lower_bound","normal_upper_bound","empirical_lower_bound","empirical_upper_bound"
"1",100,-0.0163068677363168,0.0444703997793915,0.0453660725956291,-0.333097680944125,0.360635982716905,-0.363478634822808,0.32493399375241
"2",200,0.396895849069226,0.0831928484922927,0.229962276783076,-0.46065878533351,0.488197087106291,-0.0610770231770014,0.878868713298773
"3",300,0.222826416260874,0.0566879251450547,0.100381527765883,-0.377857769539739,0.405396071312519,-0.14303762303838,0.635742328351981
"4",400,0.090354098784187,0.0494476997326969,0.0553030644372586,-0.351994297713758,0.379532599486539,-0.268029560768034,0.463130553800471
"5",500,0.068040714273756,0.0356333400097203,0.0385716159342272,-0.296726500952496,0.324264802725276,-0.232509328878106,0.389331942623117
"6",600,0.0115449102845557,0.0278011222563011,0.0278005092781046,-0.260488290830405,0.288026592603186,-0.256917213281558,0.288068196601047
"7",700,-0.0187365391976602,0.0221959238435307,0.0232481045466023,-0.231286019355873,0.258824321128654,-0.255575018161581,0.231294756588285
"8",800,-0.0924050995098546,0.0270323169588202,0.0382998819426329,-0.256669581910834,0.284207883683614,-0.358032776019868,0.182573499840324
"9",900,-0.131675194734611,0.0236048288345499,0.0447541655419043,-0.238943908013144,0.266482209785924,-0.382714593279629,0.122749614430226
"10",1000,-0.139481837747254,0.0203060491996788,0.0437878535070283,-0.220621332049096,0.248159633821876,-0.368383483282942,0.101036106280036
"11",1100,-0.125523843755714,0.018071767451928,0.0374706914548027,-0.207350617866877,0.234888919639657,-0.341469201813654,0.101485050100324
"12",1200,-0.155663994415812,0.0163741396390962,0.0450784555381656,-0.196708748943974,0.224247050716755,-0.366892906084114,0.0584752095414494
"13",1300,-0.117405289597577,0.0142882089015115,0.031492085096013,-0.182845624917038,0.210383926689818,-0.314600348137467,0.0759155381764692
"14",1400,-0.117261524715938,0.0132118291449638,0.0303782247279374,-0.175294800885977,0.202833102658757,-0.301579648819126,0.0708785057048309
"15",1500,-0.102153665914677,0.011748823073754,0.025184572764233,-0.164519803792581,0.192058105565361,-0.279641579196044,0.0749867536794353
"16",1600,-0.0630841818292071,0.0104721014074108,0.0163764417366237,-0.154554125618803,0.182092427391583,-0.231774459261524,0.105776295794465
"17",1700,-0.0655258250117566,0.0100156357696846,0.0163013258452183,-0.150844754344225,0.178383056117005,-0.227990587767076,0.100522024011249
"18",1800,-0.0423877746286756,0.00941179178648717,0.0125635097114345,-0.145805319688446,0.173343621461227,-0.199244479923047,0.11775365760346
"19",1900,-0.0444967842038302,0.00789752501077166,0.0112908646977073,-0.132405734427223,0.159944036200004,-0.189912005732299,0.102331757457974
"20",2000,-0.0248075250972031,0.0079101466134193,0.00939672451403976,-0.132522494093327,0.160060795866107,-0.174785207881674,0.117041489521727
"21",2100,-0.0262206086781949,0.00760940427137154,0.00920706326055059,-0.129714555212856,0.157252856985637,-0.16833825428741,0.114167030664357
"22",2200,-0.0255297693060808,0.00735159041753765,0.00889452522774835,-0.127262928199751,0.154801229972531,-0.164020501960952,0.117322135686107
"23",2300,-0.0318112955248903,0.00631515549396381,0.00839146955791663,-0.116943999210639,0.144482300983419,-0.162640373238392,0.0997538726404653
"24",2400,0.00132667608490211,0.00668314255240941,0.0068366211030846,-0.12069843846308,0.14823674023586,-0.134782867078537,0.133042204159065
"25",2500,0.00826745303147338,0.006391430091223,0.00642042048449155,-0.117731008222323,0.145269309995103,-0.125666090947505,0.138265379673117
"26",2600,-0.00739071750319431,0.00602984440064015,0.00647637846202455,-0.113957142598412,0.141495444371192,-0.13341337854189,0.121806128595424
"27",2700,0.0303159708468789,0.00648556395516606,0.00675806409317985,-0.118695844886141,0.146234146658921,-0.106317541761809,0.160334521641356
