"","n","estimate","variance","mse","normal_lower_bound","normal_upper_bound","empirical_lower_bound","empirical_upper_bound"
"1",100,-0.00465560822367574,0.0579120839161232,0.058239973247604,-0.38206371731974,0.40960201909252,-0.400478814447657,0.389052204684358
"2",200,0.0063061100789879,0.0295255848370852,0.0295753766982107,-0.268866219837648,0.296404521610428,-0.273944193785334,0.292062703819116
"3",300,-6.20257966394218e-05,0.0194821926909807,0.0196695977008797,-0.215817257479847,0.243355559252627,-0.227355282530604,0.233612430480345
"4",400,-0.00348060827523923,0.0143625032242486,0.0146571849147379,-0.183356130553586,0.210894432326367,-0.199425930962184,0.195995516289803
"5",500,0.00262226436563847,0.0116706144127883,0.0117925333690122,-0.163925402856236,0.191463704629016,-0.175933494930361,0.178065134961419
"6",600,0.0018344993295291,0.00974167597016768,0.00988216354275733,-0.148577785188812,0.176116086961592,-0.161797716452345,0.164262083291491
"7",700,0.000795607152432218,0.00839991292628317,0.00856654578071483,-0.136983392815787,0.164521694588567,-0.149130135316378,0.150278701304217
"8",800,0.000485308773043932,0.00758063881372976,0.00775558314725932,-0.12944309621681,0.156981397989591,-0.140621801076524,0.143688586500046
"9",900,0.000404058376365621,0.00634827089421314,0.00652562693783581,-0.117286267783205,0.144824569555985,-0.130659376221698,0.132512034236612
"10",1000,-0.000594011038944192,0.00597317851957531,0.00617828430436477,-0.113355567574578,0.140893869347358,-0.128804822480842,0.127244386035656
"11",1100,0.000592488626043705,0.00543340256725925,0.00560594031506904,-0.10747567064968,0.13501397242246,-0.121536100932907,0.120578645643447
"12",1200,-0.000177410263549002,0.00493928329876302,0.00513280201001226,-0.101831219341785,0.129369521114565,-0.11522656553462,0.116989413202778
"13",1300,8.6853104621564e-05,0.00445467038388398,0.0046409847223962,-0.0960138363988445,0.123552138171625,-0.108625693093532,0.110726150198454
"14",1400,-1.1693756988205e-05,0.00424270411949553,0.00443176725775656,-0.0933701059626508,0.120908407735431,-0.104812106456031,0.106166092187811
"15",1500,-0.000571903591953248,0.00401850870760557,0.00422337084941486,-0.0905009307721932,0.118039232544974,-0.103892504823814,0.10419258415212
"16",1600,-0.000167666567959007,0.00367169770250313,0.00386519824371848,-0.0858999901976209,0.113438291970401,-0.100190853661966,0.100018540362243
"17",1700,0.000363524182318739,0.00348941842032947,0.00366843136397431,-0.0833944902852041,0.110932792057984,-0.0962200992435723,0.098279321479805
"18",1800,0.000645175341889282,0.00323284426834153,0.00340443643358052,-0.0797541117188103,0.107292413491591,-0.0916959563141741,0.0934641045238147
"19",1900,0.000119586101366619,0.00312808748609711,0.00331377248742044,-0.0782263741235134,0.105764675896294,-0.0925418348194231,0.0913667345902256
"20",2000,2.92754682015468e-05,0.00300436024206127,0.00319254354652021,-0.0763886396070186,0.103926941379799,-0.0906293721808943,0.0888845514576825
"21",2100,-0.000416254338945553,0.00278457918395796,0.00298524798952815,-0.0730283144197339,0.100566616192514,-0.0858531736491287,0.0864172229525823
"22",2200,-0.000286223141915536,0.00263185097907366,0.00282887814795341,-0.0706144209068643,0.0981527226796446,-0.0841442552762768,0.0830077765233246
"23",2300,-0.000651037803771743,0.00262650765310321,0.00283392419343246,-0.070528717342794,0.0980670191155743,-0.0845263072009024,0.0854535498113672
"24",2400,0.000421901321045572,0.00252108651188817,0.00269873136554538,-0.0688196444156801,0.0963579461884605,-0.0831296659021861,0.0836574375083787
"25",2500,0.000269063409304821,0.0022868275575418,0.00246862255391925,-0.0648890421322154,0.0924273439049958,-0.0794697007335945,0.0791122054583497
"26",2600,0.000744476976750515,0.0023024324230206,0.00247161406698845,-0.0651569599426658,0.0926952617154462,-0.0770575809053353,0.0801768691025118
"27",2700,0.000665854500793588,0.00226425115668445,0.00243549468262191,-0.0644998078098617,0.0920381095826421,-0.0760962596431255,0.0799444585066223
"28",2800,-0.000563552179199409,0.00211240717279006,0.00231741106852186,-0.0618298530668785,0.0893681548396588,-0.0751437255533363,0.0757685458323737
"29",2900,9.81186921552305e-05,0.0021050413995887,0.00229151751256459,-0.0616979345168309,0.0892362362896112,-0.0748923941098083,0.0760290358702
"30",3000,0.00074079460075108,0.00195290763447629,0.00212225512045494,-0.0589197510650788,0.0864580528378592,-0.0697666534164257,0.0734529878581279
"31",3100,0.000148908126409216,0.00198482908376205,0.00216994313078611,-0.059511414989363,0.0870497167621433,-0.0720284083502609,0.0737007175814373
"32",3200,0.000685599222257599,0.00191444726005987,0.00208524369475589,-0.0582004277747767,0.085738729547557,-0.0718973430811476,0.0716158694724982
"33",3300,-0.00140577784364084,0.00181915558445253,0.00204907021529716,-0.0563864225450675,0.0839247243178479,-0.0727687681991662,0.0692100749395212
"34",3400,8.8211380225114e-05,0.00181752658789402,0.00200433118834779,-0.0563550044562665,0.0838933062290468,-0.0694791186420359,0.0695475697605047
"35",3500,-0.000700440674639992,0.00169124150948382,0.00190027234112496,-0.0538749722528626,0.081413274025643,-0.0673202817853534,0.0681635915563471
"36",3600,0.000223342892616489,0.00173209578059638,0.00191523827564444,-0.0546871154524835,0.0822254172252639,-0.0679308900262668,0.0681850034480146
"37",3700,0.000521566940410238,0.00163035528029747,0.00180552768964719,-0.0526461866227929,0.0801844883955733,-0.0650598522763553,0.0673259696718884
"38",3800,8.63866110654238e-05,0.0015260873351944,0.00171300015594146,-0.0504873320559022,0.0780256338286825,-0.0642160455078367,0.0622569357459826
"39",3900,0.000231739842451455,0.00153004890902262,0.00171300439701337,-0.0505706797805612,0.0781089815533415,-0.0643376103290691,0.0644045871974765
"40",4000,0.000187860218079132,0.00152039649554855,0.0017045438724666,-0.0503674126804317,0.0779057144532121,-0.0639322555362697,0.063109330474829
"41",4100,-0.000366382731916336,0.00144261808870379,0.00164214287576032,-0.0487053713338891,0.0762436731066694,-0.0631777702899339,0.0628659251599353
"42",4200,-0.000726652408888579,0.00142741728713402,0.001637260116852,-0.0483753540796007,0.0759136558523811,-0.0625583578139941,0.0603579736819753
"43",4300,0.000647723593279559,0.00137991582925719,0.00155181170029972,-0.0473325859060237,0.0748708876788041,-0.0601902520645308,0.0606040867531993
"44",4400,-0.00117565440026516,0.00135106999021523,0.00157414698127323,-0.0466905759410739,0.0742288777138542,-0.0606650179346992,0.0589837026864174
"45",4500,-0.000140619061467131,0.00131716120133935,0.00151037946910139,-0.0459270539031282,0.0734653556759086,-0.0610574723652446,0.0584585383852331
"46",4600,0.000915011281866134,0.001284209993265,0.00144918205623894,-0.0451756193732522,0.0727139211460326,-0.0589419296037942,0.0602825678376938
"47",4700,-0.00051588652514729,0.00129461863579873,0.00149842200592059,-0.0454140137437238,0.0729523155165041,-0.0590843558686726,0.0591358397723789
"48",4800,-5.3419077829371e-05,0.00126830342595518,0.00145911320568573,-0.0448094290887152,0.0723477308614956,-0.059185541774544,0.056928587551708
"49",4900,0.000425409698636315,0.00123679380667937,0.00141460187680379,-0.0440771920207212,0.0716154937935015,-0.055672120574746,0.0593661779429551
"50",5000,7.67316791354043e-05,0.00120339259766051,0.00139063426288818,-0.0432907383994056,0.0708290401721859,-0.0563855665793265,0.0572519395095974
